Course,Job_Titles
Electrical And Computer Engineering,"Solution Architect,  Solution Designer; Business Analyst,  Systems Analyst,  Solution Designer"
Electrical Engineering,"engineer,  developer,  analyst,  consultant, Teacher,  IT Developer,  Consultant,  Researcher and Developer,  Developer and Administrator"
Electrician,"software developer,  developer,  Java Web Developer,  Java Developer,  Java Programmer,  software developer,  developer, Web Developer,  Web Developer Network Technician,  ISP Support Technician,  Electrician,  Security Alarm Installations"
Electronics and Computer Engineering,"C#, VBA. Net programmer,  Administrator,  Support Software Engineer"
Electronics&Communications Engineering,Software Programmer Developer
End-User Computing,"IT Support,  IT Admin,  IT Technician and Desktop Support,  Junior IT Technician,  Software Tester,  Java Developer,  Junior Java Developer,  Software Consultant"
Engeneering,BI Developer
Engineering,".NET Senior Developer,  Sharepoint senior Developer,  Sharepoint senior Developer"
Engineering,"Java Developer,  Java Software Developer,  Software Engineer,  Software Developer,  Software Engineer Java"
Engineering: Computer Systems,"Integration Developer,  Integration Analyst"
"Enterprise Java Architech In IbmS Websphere""",Lotus Notes Developer
"enterprise Java Architech In IbmS Websphere""","Senior Developer,  Lead Developer,  Senior C# Developer,  DevOps Engineer,  Full-Stack Developer,  .NET Developer,  Angular Developer, Software Development Consultant,  Senior Software Developer,  Software and Web Consultant,  Web Solutions Developer,  Software Engineer"
Entrepreneurship Course,"Sports Officer,  Sports Manager,  Sport Scientist,  Coordinator,  event coordinator, Academic Affairs Officer,  Swimming Coach,  Marketing Volunteer"
Environmental and Geographical Science,"Technologist,  Manager IT,  Research Engineer Atmospheric Space Science,  Linux Systems Administrator, Technical Office,  IT Systems Administrator,  Research Assistant and Systems Administrator"
European Studies,"Business Developer,  Junior Project Manager,  Translator/Interpreter,  Junior Project Manager,  Translator/Interpreter, Tour Guide Salesperson,  Tour Guide Salesperson"
Executive Project Management,"Production Manager,  Studio Manager,  PHP developer,  Studio Manager,  PHP developer, PHP Programmer Developer. Website Development,  Communication Officer Web & Multimedia,  Web Developer PHP Programmer,  Database Developer Sound Technician Sales,  Database Developer Graphics Developer Website,  Java Applications Graphics Creator Web-Site de,  IT Operations Manager Web Designer,  Web Designer Tutor"
Faculty of Engineering,"Technical Team Lead,  Senior Java Developer,  Software Architect"
Female Leadership,"Management, Specialist Wholesale Product & Market Development,  Specialist Wholesale Service Development,  Product Developer,  Technical Officer,  Service Representative,  Service Representative"
Finacial Accounting & Bookkeepingcommunication,"Team Leader, Junior Product Developer,  Marketing & Sales Consultant"
Final Year Bachelor of Commerce Information Systems Student,"Consultant,  Manager,  Manager, Team Leader,  Team Leader,  Database Administrator,  Cashier"
financial advisor,"i.eSales Manager insurance/ banking, New Business Developer,  Customer Consultant,  Customer Consultant,  Bond Consultant"
Financial Economics & Investment Management,"Financial Analyst, Purchasing Consultant,  Day Trader,  Financial Adviser,  Tutor & Examination Marker"
Financial Information Systems,"SAP,  ABAP,  Developer"
Financial Information Systems,Snr webMethods Developer
Financial Management,"Business Analyst Project Manager IT,  Consultant,  Paracon Interactive,  Development Consltant,  Applications Analyst Programmer,  Junior Programmer Programmer"
Financial Management For Non-Financial Managers,"Junior Developer and Business Analyst,  Data Capturer,  Personal Assistance Receptionist,  Student Assistant Nursing Department"
Financial Markets,"Brand Developer,  Student Loan Consultant,  Data Capturer"
Flash Programming,"Designer,  Web Designer Publisher Flash Presentations,  SNR Flash Developer Designer Sound and Tech Lead,  Multimedia Designer,  Flash Designer Animator,  Musician Arranger Composer,  Musician Arranger Composer"
Flowcentric.Net Certification,"Senior .NET Developer,  Senior C# Developer,  Senior C# Developer, Senior Lead Application Developer,  Service & Application Development Manager,  Assistant Director Web Development Information T,  Technical Support,  Warder"
Foundation Certificate in Project Management,"Programmer,  Systems Analyst,  Business Analyst,  it project manager,  Systems Analyst, Trainee Programmer"
Foundation Peak Performance Programme,"Analyst,  Business Analyst,  BI Analyst,  Web Developer, Junior Web Developer"
Foundations of Solution Architecture Course,"Solution Architect,  Software Development Manager, Web Developer Intermediate,  Technical Systems Engineer (Controls and Instrumentation)"
French Module (I),"Analyst, IT Supervisor,  Systems Analyst,  Application Developer,  Database Administrator Developer,  Senior Database Instructor"
Fundamental Soa & Service-Oriented Computing,"Solutions Architect,  Enterprise Architect,  Data Architect,  Head of Architecture,  ETL Developer,  IT / Project Manager, Business Intelligence Consultant,  Executive Manager,  Chief Technology Officer,  Information Security Manager IT Manager,  General Manager,  General Manager & Developer,  General Manager,  Student"
Fundamentals of Human Resource,"assessor, Assessor Moderator Facilitator and Business Developer,  Sales Facilitation Assessor Moderator,  Assessor Facilitator Sales,  Shipping Controller,  Shipping Controller,  Data Capturer,  Learnership Manager,  Air Traffic Service Assistance"
Fundamentals Of Project Management,"Events Manager,  Travel Manager,  Incentive Manager,  Travel Manager,  Incentive Manager, World Cup Consultant DMC Consultant,  Account Manager,  National IT Support Manager and Process Analyst,  Designer & IT Support Manager Marketing Co-Ordinat,  Account Manager,  Operations Assistant,  Waitress,  Front of House"
Fundamentals Of Project Management,"Human Resources IS Section Head,  Verifier"
fundermentals of Project management,Software Developer
Future Generation Leadership Program,"Technical team lead,  Software Developer,  Systems Analyst,  Analyst Developer, Software Developer,  Programmer"
General Management Programme(GMP)),"Specialist Executive Support,  Strategy Planning Execution Monitoring and Evaluation,  Operations Management,  Systems Development,  General Management,  Systems Development Management, SYSTEMS ENGINEER/ANALYST/SPECIALIST DEVELOPER,  SYSTEMS DEVELOPER"
Google Developer Challenge Scholarship: Front-End Web Dev,"Front-End Developer,  Junior Web Developer,  Junior Developer,  Sales advertising,  Computers, Sales Consultant"
Grade 12,"Consultant,  Team Member,  Credit Clerk,  Network Facilitator Assistant,  Filing Clerk"
Grade 12,Software Developer
Graduate Diploma,"Export Director,  Lecturer,  Deputy General Manager,  Buyer and General Manager,  Research Assistant"
Graduate Diploma In Marketing Imm,"Business Development Manager,  Sales/ Marketing Manager,  Sales/ Marketing Manager, Sales Representative,  Promoter,  Filing Clerk Data Capturer"
Graduated,"Developer C#.NET,  C#"
Graphic And Web Designer,"Graphic/Web Designer,  Web Designer,  Front End Web Developer,  Graphic Designer, Graphic Web Designer"
Graphic Design,"Creative Director Sole Proprietor,  Branch Manager & Designer,  Shop Assistant"
Graphic Design,"Multimedia Trainer,  Designer Developer"
Graphic Design,"warehouse manager,  shop keeper,  shop keeper"
Graphic Designing,Graphic Designer
Green Belt Team Member Certification,"E-Learning,  Training,  Learning,  Development,  Leadership, Learning and Development Consultant,  Human Resources Consultant Manager,  Human Resources Specialist,  Learning and Development Consultant,  Human Resource & Process Development Manager,  MGR Projects Human Capital Acquisition,  Programmer Developer,  Secretary"
High School,"Arhitecture,  Web design,  Web design, Draughtsmen"
Higher Certificate in IT,"Administration Assistant,  IT Clerk,  IT Tech,  Admin"
Higher Dip. Integrated Marketing Communications,"Marketing Promotions,  Promoter,  Promotions Supervisor,  Head Barman,  Barman & Waiter,  Barman & Waiter,  Sales Consultant Cashier"
Higher Diploma,"Web Desgin,  Photo Editor and Flash Developer for Mercedes Benz,  Manager Asst."
Higher Diploma In Education,Educator
Higher Diploma Information Management Systems,"Freelance PHP Developer,  Full stack developer,  Web Developer,  PHP Developer, Business Development Manager,  Operations Manager,  Webmaster,  Head of Interactive Department,  Assistant Webmaster"
Higher Diploma Of Education,"Developer, Sas Developer,  Developer on Data Warehouse Project,  Consultant Analytical Services,  Training and Development Manager,  Data Processing Programmer,  Teacher"
Higher National Diploma,System Analyst
Honours Bachelor of Commerce Information Systems,Graduate in Training
Honours Bachelor of Science  (Information Technology),"Business Analyst, Cashier"
Honours Degree,"System Development,  Database Admin"
Honours Degree In Computer Science,"Software Developer,  Informatics Tutor,  Bursary Student,  Researcher"
Honours Degree In Psychology,"HR Consultant / Practitioner,  Talent Consultant,  Talent Consultant, Student Counsellor & Career Developer,  HR Administrator & Recruitment Consultant"
Honours: Information Systems,"Business Systems Analyst,  Solution Designer,  Solution Architect,  IT Project Manager,  Solution Designer,  Solution Architect,  IT Project Manager, Application Programmer,  Developer,  End User Support Technician,  Web Master,  Data Capturer"
Hons. Bachelor of Science (Comp Sci & Inf Syst),"Account Manager,  Software Team Leader,  Snr Software Developer,  Software Team Leader,  Snr Software Developer, SNR Wflow Dev Moss Consultant and T L,  Senior Software Developer,  Senior Systems Trainer .NET SQL SRV,  Senior Programmer .NET,  Developer System Administrator,  Safety Health and Environmental Officer"
Html 4 \u2013 Level 2 And Integrated Html,"Senior Developer / Analyst,  Team Lead,  Team Lead, Technical Consultant,  Senior Developer Analyst,  Intermediate Developer"
HTML to HTML5 and CSS,"Digital Marketing,  Digital Strategist,  Web Developer,  Recruitment Lead, Media Sales Executive,  Marketing Assistant"
Humanities,Coordinator Network Migrations
Hyperion Essbase Analytics Certification,"MIS,  Project Manager,  Data Analyst,  Solutions Analyst,  MI manager,  Solutions Analyst, Management Information Specialist,  Data Analyst,  IT Support Specialist,  Labels Systems Engineer,  Software Developer SQL DBA,  SQL DBA,  Clerk Infrastructure,  IT Events Management Co-Ordinator"
Ibm Certified Advanced System Administrator,"Lan Coordinator,  Treasury Lan Administrator,  Lan Administrator,  y2k Rollout Team"
Ibm Certified Developer Internet And Related Tech,"CTO,  CIO,  Technical Manager,  .NET Developer,  Architect,  Project Manager IT,  Team Lead,  CIO,  Technical Manager, Project Consultant,  Senior Developer,  Programmer,  Domain Specialist,  Divisional Manager Commerce,  Technical Manager,  Technical Manager,  Technical Team Leader"
IBM WebSphere Message Broker Version 8 Solution,"Java Developer, Contract Administrator"
Imm Diploma Sales&amp;Marketing,"Key account manager,  Business development manager,  Business development manager, Business Developer,  Business Developer Key Account Manager,  Sales Representative,  Senior Sales Consultant,  Account Sales Representative,  Production Control Assistant,  Direct Sales Representative,  Owner"
Imm Marketing Certificate,"National Marketing Strategist,  Freelance Layout Subeditor,  Web Developer,  Online Journalist Photo Editor Web Designer"
Implementing data models  & reports with Microsoft SQL Server,"BI Developer,  BI Analyst,  Data Scientist,  Data Analyst,  Business Analyst, Nerve center: Officer,  Urban Management Inspector,  Visible Service Delivery Inspector,  Systems Administrator,  Customer Relationship Agent"
Import Export management certificate,"Fashion Buyer,  Senior Buyer,  National Category Manager,  Purchasing,  Group Purchasing Manager,  Purchasing and Logistics Manager, Account Manager,  Accessories Buyer"
Imports And Exports,"Accounts Executive Merchandiser,  Business Developer"
Incomplete Bachelor of Science (Coms),"Web Developer,  Mobile Developer,  PHP Developer,  SQL,  Software,  Application Tester"
Industrial Design,"Architectural Draughting,  Product Developer,  Technical Illustrator"
Info Tech Ndip 3years,"Software Engineer C#, Cloud Solutions,  Software Developer,  Senior Software Developer,  Senior Software Engineer,  software developer,  Software Developer,  Senior Software Developer,  Senior Software Developer"
Infomation Technology,Business Intelligent
Information And Communication Technology,"Software Developer,  Web Developer,  Programmer, Development Software Tutor"
Information System Internet Developer,"PHP Web Developer,  Web Developer,  Front-End Developer, Junior UI Engineer,  Web Development Freelancer,  Web Developer,  Web Developer"
Information Systems,"Developer,  Analyst,  Software Engineer,  Analyst,  Software Engineer, Data Capturer"
Information Systems,"Junior business Analysist,  junior system analyst,  Software Development,  Database design and admin,  junior system analyst"
Information Systems,"Lead Software Developer,  Software Developer, Intern"
information Systems,"Software Development,  Tech Support"
Information Systems (Internet Development),"Internet developer,  it support,  it helpdesk,  IT support"
Information Systems Management,"Support,  Analyst,  Junior Analyst"
Information Systems Software Development Diploma,"Web Developer, JNR New Business Administrator"
Information Technolgy,"Senior Java Developer,  Senior Developer,  Senior Developer, Senior Java Developer,  Senior Java Developer,  Senior Java Developer,  Senior Java Developer,  Senior Java Developer,  Senior Java Developer,  Software Engineer,  Software Engineer j2se5"
Information Technolody,"BI Developer,  ETL Developer,  Systems Analyst,  Data Analyst"
Information Technology,"Business Analyst,  Business Analyst IT,  Junior System Analyst, Business Analyst"
Information Technology,"Business Analyst,  Tester,  IT Project Manager"
Information Technology,C# Developer
Information Technology,"C# Software Developer,  Information Security Researcher,  Lecturer,  Python Developer"
Information Technology,"Data Analyst,  business Intelligence,  Data Scientist,  Data Specialist,  System analyst, Junior Analyst Developer,  Junior Application Developer"
Information Technology,Developer C#.NET
Information Technology,"Developer,  Analyst"
Information Technology,"ETL Developer,  Data Analyst,  Data Architect,  Business Intelligence Developer,  SQL Developer"
information technology,"information technology,  developer"
Information Technology,"IT Manager,  IT Manager"
Information Technology,"IT related,  Office Administrator,  Personal Assistant, Lecturer,  Tutor"
Information Technology,"IT,  Receptionist,  Data Capturer,  Administration Office,  Administrator,  Administrator PA, Systems Analyst Developer,  Cashier"
Information Technology,"Java Developer,  SQL Developer,  SQL Database Administrator,  C# Developer,  ASP .NET Developer,  VB.NET Developer,  Analyst Programmer,  Technical Business Analyst"
information technology,junior
Information Technology,Junior Admin Clerk Programming and Web Page Ass
Information Technology,"PHP Developer,  Senior PHP Developer,  PHP Web Developer,  Junior PHP Developer"
Information Technology,"SharePoint Developer/Administrator,  Junior SharePoint Administrator, Junior Business Intelligence Developer,  Numerator,  Feildworker"
Information Technology,software developer
Information Technology,"Software Developer,  Developer,  Software Developer"
Information Technology,"Software Developer, Technical Officer"
Information Technology,"Software Developer;,  Software Engineer"
Information Technology,"System Developer,  Web Application Developer,  Technical Support Analyst"
Information Technology,"Technical Lead,  Senior Developer, Application Developer"
information technology,"Test Analyst,  Junior Software Developer,  Junior Java Developer,  Junior Business Analyst,  Business Analyst"
Information Technology,VB SQL Developer
Information Technology,"web designer,  junior software developer,  network adminstrator,  Desktop Support Engineer, Traineee ( Developer)."
Information Technology,"Web Developer,  PHP Developer,  JAVA Programmer/Developer,  C# Developer,  ASP.Net Programmer,  Software Developer,  Web Designer,  Front-End Developer,  Developer, Web Developer"
Information Technology,Web/Software Developer
Information Technology (Software Development),"IT Software Developer,  SQL,  Java Developer,  IT Tech,  Android Developer,  C#,  JSON"
Information Technology (Software Development),SOFTWARE DEVELOPER ; END USER SUPPORT
Information Technology (Software Development),"Software Engineer,  Software Developer,  C#,  Developer, Developer,  Software Engineer"
Information Technology [Programming],graduate software developer
Information Technology Business,webmethods Developer
Information Technology Degree,"internship,  graduates,  junior developer,  Adminstrator,  Help Desk,  Help Desk Support,  IT Support,  SEO,  IT, Information Technology Intern,  System Developer internship"
Information Technology Diploma,"Software Developer, Software Developer Web Developer,  JNR Software Developer,  Courier,  General Manager,  General Manager,  Asst Stockroom Manager Perfumery Department"
Information Technology Web Application Development,"SAP Support,  SAP Consultant,  SAP Project Manager"
Information Technology(Development Software),"Cobol Programmer,  Cobol,  Tester,  SQL,  Cobol,  Tester,  SQL, Student Assistant & Technical Assistant"
Information Technology(Software Development,"Business Analyst/System Analyst, Lecturer"
Information Technology:Business Aplication,"Junior Business Analyst,  Junior Project Manager,  Operations support Technician,  Junior Project Manager,  Operations support Technician, Examination Assistant,  Data Capturer"
Infrastructure Management Services Certificate,"Web Design,  Graphic Design,  Web Development,  Support Desk,  Technical Support,  Admin,  Admin Ass,  Admin Work,  Network Support,  Marketing"
Innovation And Knowledge Management,"knowledge management,  knowledge management (manager/specialist),  knowledge management (manager/specialist), Knowledge & Research Manager,  Coordinator Knowledge Management,  Knowledge Management Assistant Volunteer,  Tutor Information Design,  Web Developer Interface Design,  Information Technology Trainee 2004 Election,  Field Work Researcher,  Library Student Assistant"
Instructional Design And Development,"Learning and Development,  E-Learning consultant,  Human performace specialist,  E-Learning consultant,  Human performace specialist, Call Centre Consultant,  Coordinator Hotline Assistance,  Credit Card Processor,  Data Capturer,  Camp Counsellor,  Counselor and Youth Developer,  Tutor,  Switchboard Operator"
International Advanced Diploma Computer Studies,"Analyst/Programmer,  Developer,  Systems Analyst,  Developer,  Systems Analyst, Applications Programmer,  Benefits Processing Clerk"
International Advanced Diploma In Computer Studies,"Business Analyst,  MIS Analyst,  C#.Net Developer,  VB.Net Developer,  System Administrator,  Database administrator, Junior Software Developer"
International Computer Driving Licence(Icdl),"PHP DEVELOPER, Student Assistant,  Student Assistant"
International Higher Diploma In Computer Studies,Senior Web Developer
International Software development,Software Development
Intro to Computer Science,"Junior Software Developer, Web Graphic Designer,  Digital Account Executive,  Intern Art Director,  Intern Graphic Designer,  Sales Consultant,  Internship"
Introduction to C# Programming,"????, Self Employed,  Business Owner,  Owner and I.T. Manager,  Software Developer & Software Support Engineer,  Technical Software Development Support Engineer,  Full-Time Temp Agent as (Senior Credit Controller & Debt Controller),  Credit Controller,  Student Credit Controller"
Ios App Master,"Senior Mobile Development Specialist,  Senior Mobile Developer,  Senior Mobile Developer, Freelance Web Developer,  .NET Developer Software Engineer,  PHP .NET & Java Developer,  .NET Developer,  Assistant Store-Manager Customer Service Agent,  Freelance Web Developer & IT Consultant,  Delphi Programmer,  Foxpro Developer"
Iseb Foundation Certificate In Software Testing,"Software developer,  Analyst Developer,  Analyst Developer"
Iseb Intermediate Certification,"Technical Test Analyst,  Software Test Consultant,  Software Tester, Field Service Engineer"
ISEB/ISTQB Intermediate Certificate,"Test Automation Specialist,  Technical Tester,  Tool Support,  Technical Tester,  Tool Support, Test Automation Specialist,  Test Autmation Specialist,  Test Automation Engineer,  QA Tester,  .NET Developer,  Oracle Software Developer"
Iseb-Istq Foundation Level,"Test Analyst,  Software Developer,  IT Administrator, IT Intern,  Computer Lab Assistant"
Issd,"Android Developer,  Java Developer,  Java Developer"
ISSD - Software Development,Front End Web Developer
ISTQB - Foundation (software testing),"Snr Test Analyst,  automation tester,  Snr Test Analyst, Senior Test Analyst,  Trainee Developer Learnership,  Trainee Programmer Intern"
Istqb Foundation,"System Tester,  System Analyst,  System Manager,  Developer C# .NET"
ISTQB-Advanced Test Manager,"Analyst Tester,  Senior Test Analyst,  Test Analyst, Applications Support,  ICT Specialist,  ICT Specialist"
It Certificate(Itblp),"Java Developer,  teller,  Call centre agent, Java Developer,  Service Consultant"
IT Database development Diploma,BI Developer
It Diploma,"Farming,  Developer"
IT DIPLOMA,Senior .NET Developer
IT Diploma,"Web Developer,  Junior Developer,  Front End Developer,  Front End Web Developer,  Front End .NET Developer,  C#,  Software Developer,  Junior Software Developer, Call Centre Agent,  IT Specialist,  IT Technical Support"
IT expert,"PHP Developer,  Full Stack,  Engineering Analyst, Full Stack Developer,  Web Developer,  Junior Web Developer"
It Project Management,"Senior Network Administrator IT Projects Manager,  Support Specialist,  Network Administrator,  Website Developer Programmer,  IT Trainee"
IT Software Development,"SharePoint,  Developer,  Database Administrator,  Business Analyst,  Project Co-ordinator,  SharePoint Administrator,  SharePoint Developer,  SharePoint Consultant, Sharepoint Business Analyst,  SAP Project Services Officer,  Support Engineer"
It Support,Java system analyst and Java Developer
IT(Software Development),"Business Analyst,  Systems Tester,  System Analyst, Data Capture"
It(Software Development),junior Software Developer
ITIL 2011 Edition Foundation,"Project Manager,  IT Manager,  Account Manager,  IT Manager,  Account Manager, Senior Technical Support"
ITIL Foundation,"Project Manager,  Programme Manager,  Business Analyses Manager,  Programme Delivery Manager,  Business Process Manager (Permanent),  Senior Business Analyst (Contractor), Project Manager,  Senior Business Analyst Contractor,  Senior Business Analyst,  Senior Business Analyst,  Business Analyst,  Process Specialist,  Process Consultant Principal,  Business Process Analyst"
ITIL Foundation,"Software Designer,  Software Tester,  Software Trainer,  Software Developer,  Documentation Specialist,  Human Resource, Senior Software Consultant"
ITIL FOUNDATION,"SQL DBA, Project Manager Systems Developer,  Project Management Senior Developer,  Senior Web Developer,  Web Developer,  Web Developer"
Itil Foundation ,"Software Development Manager,  Application Development Manager,  CIO,  General Manager,  Operations Manager,  IT Director,  CTO,  Application Development Manager, Chief Technology Officer,  IT Manager,  Architect Manager Technical Development Manager,  Software Dev MGR Business Systems Analyst,  Systems Analyst,  Systems Analyst Developer / Deputy IT Manager"
ITIL Foundation Certificate,"Business Analyst,  Systems Analyst,  Application Support,  Application Tester,  Business Application Analyst,  Applications Analyst,  Applications Consultant,  Functional Analyst,  Functional Application Support,  Functional Specialist Business Systems, Programmer"
Itil Foundation V3,"Acting Project Manager,  Analyst Programmer,  Developer,  Personal Assistant,  Data Capturer"
Itil V3 Foundation,"Solutions Architect,  ERP Manager,  Head of SAP,  Enterprise Architect,  Business Architect,  ERP Manager,  Head of SAP, Acting Head of SAP Customer Centre of Expertise,  SAP Development Manager,  IT Operations Manager,  Solutions Architect Business Support Systems,  Manager Development SAP Solutions,  SAP ABAP Developer and Team Leader,  SAP ABAP Developer,  Technical Analyst"
ITIL v3 Foundation,"Systems Analyst,  Business Analyst,  Business Consultant,  Process Consultant,  ITIL Consultant,  Process Consultant,  ITIL Consultant, Software Developer,  Junior Programmer,  Junior Systems Administrator and Desktop Support"
Itil V3 Foundations,"Senior C# Developer, Systems and Web Developer"
Itil Version 3 Foundation,"CIO,  IT Manager,  General Manager,  Business Manager,  General / Business Manager,  IT Manager, Computer Scientist,  Radio Planner,  Computer Literacy Tutor"
ITNIS (Information Technology Network Integrated Specialist),"Developer,  PHP Developer, Software Engineer,  Senior Developer,  Developer,  Developer,  Developer,  Associate Systems Engineer"
Ituc Diploma,"Senior Technical Specialist,  Manager,  Application Development Manager,  Scrum Master,  Manager, Senior Analyst Developer Technical Specialist 2"
J2ee Introduction And Overview,"Developer and Researcher,  Developer,  Developer,  Developer,  Developer"
Java Certification,Java Developer
Java Enterprise Programming Course,"Programmer/Developer, IT Manager,  IT Manager"
Java Programmer,Developer
Java Programming,"C# Developer,  .Net Developer,  Java Developer,  .Net Developer,  Java Developer, System Developer"
Java Programming,"Web Developer Designer,  PA Internal Network Administrator"
Java Programming Certificate,"Java junior developer,  Java Internship,  Android developer internship,  Radio Technician"
JAVA SE 8  certificate,information communication technology
Java SE 8 Programmer 1,"Java Developer,  Web Developer, Developer"
Java SE8,"Software,  Developer,  Analyst,  SQL Developer,  IT Administrator,  Network Administrator, Senior Technical Consultant,  Technical Consultant,  IT & Accounts Administrator,  IT Support Technician,  IT Support Technician,  Technical Administrator,  Lecturer IT Head and Lan Administrator,  Junior Manager & Website Developer"
Journalism,"Telemarketer and Program Developer,  Journalist,  Administrative,  Teacher,  Production Secretary"
JSE Derivatives Compliance,"Compliance, Sales Consultant,  Office Assistant,  Account Executive,  Candidate Attorney,  General Manageress,  Manageress,  Manageress,  Call Centre Agent"
Junior Management Programme,"Senior Credit Risk Analyst,  SAS Team Lead,  Quantitative Analyst,  Data Analyst,  Data Scientist,  Investment Analyst,  Credit Risk Analyst,  Statistician, SAS Developer,  Seismologist,  Applied Mathematics Class Assistant"
Junior Management Programme,"Systems analyst,  support,  junior it manager,  support manager, Developer"
Knowledge Management,"Knowledge Specialist,  Business Analyst,  Consultant,  Systems Analyst"
KNX Tutor,"Solutions Architect,  Technical Lead"
Labour Relations Management Course,"BI / Business Analyst,  Developer, Consultant,  Senior Business Analyst,  Consultant,  Developer,  Lead Developer,  Analyst Developer,  IT Manager,  Senior Developer Analyst"
Laravel Programming,"PHP Developer,  JavaScript,  Software Developer,  Systems Analyst,  Full Stack Developer,  Frontend Developer,  Mobile App Developer, Systems Developer,  Analyst Programmer,  Accpac Consultant,  Attach\xe9"
Leadership,"International Coordinator Specialist Department,  Foreign Exchange Database and Product Supervisor,  System Developer Application Programmer System a,  Foreign Exchange Consultant Supervisor,  Foreign Exchange Consultant Supervisor,  Cashier"
Leading in a Digital Economy,"Digital Strategist,  Digital Architect,  Digital Consultant,  Digital Project Manager, Procedures and Implementations Manager,  Registrations Clerk,  Call Centre Agent"
Lean SixSigma Green Belt,"Agile Manager,  Scrum Master,  Product Owner,  Software Development Manager,  Agile Manager,  Project manager, Technical Team Leader,  Production Manager & Senior Developer,  Systems Manager,  Java Lecturer,  Programmer"
Learn Ethical Hacking and Effective Counter Measures from Scratch,"IT Manager,  Development Manager,  Software Development Manager,  Product Owner,  Project Manager,  Solutions Architect,  Software Development Manager,  Development Manager, Innovation and Vendor Specialist,  Research & Development Manager,  Web Support Engineer,  Senior Webmaster,  Head Developer,  Online Systems Supervisor,  Workshop Supervisor"
Lectora Publisher: Advanced,"Web/Graphic/E-Learning Designer/Developer,  SABA Lectora Developer, Management Programmer,  Senior Analyst,  Operational Programmer,  Intern Web Developer,  Field Technician,  Web Design Web Developer"
License To Lead,"Oracle Systems Analysts,  Team leader,  Development  manager,  Team leader,  Development  manager, Oracle Developer,  Oracle Developer,  Oracle Developer Analyst,  Oracle Analyst Developer,  Oracle Developer,  Tutor Grade 12"
Linux Eseentials,"Business Intelligence,  MIS Developer,  ETL Developer,  Data Engineer,  ETL Developer, Business Analyst,  Project Coordinator,  Cost Accountant,  Graduate Trainee"
LLB,"IT Developer,  Junior Programmer,  Trainee Programmer"
LLB,"Sales Rep,  Trade Marketer"
M Phil (Personal And Professional Leadership),"Adult Education Consultant,  Senior Development Officer,  Adult Education Consultant,  Abet Facilitator,  Curriculum Developer,  Teacher,  Teacher"
M.A Industrial Psychology,"Basic Skills and English Language Trainer,  Training and Capacity Building Officer,  Research & Training Developer,  Research & Lecturing Assistant,  Office Administrator"
M.A Psychology,"HR Officer, Senior Reruitment Consultant"
M.A. in Demography and Population Studies,"Researcher,  Data Analyst,  data scientist,  data specialist,  lecturer, Computer Technician/ Website Developer"
M.Com (Finance),"Structured / Leveraged Finance Lender,  Credit Manager,  Credit Manager, Credit Manager,  Credit Analyst,  Economic Research Analyst,  Sales and Marketing Consultant"
M.Comm,"Training Manager,  HR Manager,  HR Manager, Encore Project Logistics Coordinator,  Abet Coordinator,  Abet Training Facilitator,  Teacher,  Home Loans Clerk,  Sales Assistant"
M.Comm Industrial Psycholog],"organisational development,  change management,  organisational design,  corporate social responsibility, Intern Industrial Psychologist,  HR Officer,  Training developer"
M.ENG (ELECTRICAL AND ELECTRONIC) (RD),"Solutions Architect,  Operational Support,  Business Support,  OSS/BSS"
M.Eng Electronics,"Section Head Centre of Excellence Project Managem,  Senior Engineer Teletraffic Network Research,  Engineer Teletraffic Division,  Engineer Technology Strategies Division,  Forensic Anylist,  Engineer Telkom Development Institute"
M.S. Computer Science,Software Programmer
M.Sc,".NET developer,  C# .NET,  asp .NET,  sql"
M.Sc. Computer Science,"Android Developer,  Data Scientist,  Software Engineer"
M.Tech,"PHP/Web Developer,  software developer,  software developer"
Management Certificate,"Duty Manager,  Supply Teacher,  Pre-Employment Screening Administrator,  Artist Assistant and Private Tutor,  Student Teacher and After-Care Supervisor,  Private Tutor,  Software Developer Quality Controller"
Management Development Programme,"Production Manager,  Operations Manager"
Management Development Programme (MDP),"Content Developer,  Content Manager,  Broadcaster,  Writer,  TV Producer,  TV Presenter,  Scriptwriter,  Script Editor,  Channel Manager,  Head of Channel, Commissioning Editor,  Senior Commissioning Editor"
Managing Managers for Results,"Senior Operations Manager,  Operations Manager,  Operations Support Manager,  Operations Manager,  Operations Support Manager, Manager Mvno Mvne Support,  MNP Service Owner,  CRM Services Design Engineer,  CRM Analyst Customer Care Analyst and Developer,  Customer Care Developer,  Programmer,  Junior Developer"
Marketing,Learning and Development Manager or Lead HMI Engineer
Marketing,"Marketing,  logistics,  oil &amp; gas,  consulting"
Marketing Management,"Sales Representative,  Sales Consultant,  Public Relations Officer,  Account Executive,  Key Account Manager,  Practice Manager,  Clinic Manager,  Manager, Photographer,  Sales & Marketing Representative,  Locum nursing positions,  Fundraising Coordinator,  Fundraiser & PRO,  Veterinary Nurse,  Sales Representative and Area Supervisor Western Cape,  Sales Representative Western Cape"
Marketing Management Bachelor of Commerce,"Events Manager,  Campaign Manager,  Brand Assistant Manager,  Customer Manager,  Assistant Key Account Manager,  Marketing Manager,  Assistant Marketing, Planning for experiential events within the region,  Sales and Events Representative"
Master Bioinformatics and Modling,"Software Developer,  Web Development"
