career,course,universities,job_titles,skills
,Bachelor of Science  Honns IT and IS,,"C# Developer,  C#.NET Developer,  C# Software Developer,  C# .NET Developer","OO,  SAP Integration,  Biztalk,  Java,  C#,  .NET,  Visual Studio,  C,  ArcGIS"
,National Deploma,,junior c# developer,"Bootstrap,  asp .NET web forms,  widows form and console application.,  javascript,  aspt .NET mvc  web services,  jQury,  wcf,  wpf,  javascript and JQuery."
,Bachelor in Technology Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)","SAP PM Functional Support Analyst,  Database Administrator,  Data Analyst, Assistant Software Developer,  Technical Support Intern","MS SQL 2005, 2008,  Asp.Net Developer C#,  Vb,  Sap Pm,  Javascript,  Domain Driven Development (Ddd),  Oracle,  Desktop Support (A+)"
,Certificate in Fundamental Accounting,,"Business Analyst IT,  Configuration Administrator,  SAP Analyst","Change management,  Information gathering,  Process modelling,  Stakeholder engagement and change management,  Management of people and processes,  Ability to Motivate Team Members,  Meeting facilitation,  SAP FICO,  MS Project"
,Ba Human Resources Management/ Psychology,,"Human Resources Practitioner,  Business Developer","Great Negotiator,  Computer Literate,  Good Listener"
,Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)","web designer,  junior software developer,  network adminstrator,  Desktop Support Engineer, Traineee ( Developer).","microsoft office,  dream weave,  adope photoshop,  Computer operation and packages,  Computer architecture and servicing,  yet to be discovered. I am an aspiring and intelligent young lady who is goood at everything she lays her hands on  and a fast learner.,  programming,  graphic design"
,Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)","Software Developer,  Developer,  Software Developer","Sharepoint 2007/2010,  C# .NET,  xml,  Javascript,  Sql 2000/2005/2008,  Sql Reporting Services,  Visual Studio  .NET 2003/2005/2008/2012,  Vb.Net"
,Bachelor of Science Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University",Web Developer,"Web Developing,  Human Resources & Org Development Management,  Staff Learning And Development,  Customer Relationship Management,  Computer Hardware And Software Support"
,C#. Net,,"Developer, Systems Developer,  Lecturer","Plex,  Microsoft Office Suite,  As400/Iseries,  SQL,  C#,  VBachelor of Science ript,  Powerhouse,  C++,  C"
,Bachelor of Science (It),,"J2EE developer,  Web Developer or C#,  web developer,  .net developer","HTML,  Internet Research,  javascript,  JEE,  Java,  Spring,  Hibernate,  SQL,  JQUERY"
,Oracle Developer Certified Professional,,"Oracle EBS Technical Consultant,  Oracle E-Business Suite Developer,  Oracle E-Business Suite Developer","Oracle Forms Developer Certified Professional,  Oracle Pl/Sql Developer Certified Associate,  Ibm&Cmmi Standards,  Itil Process,  Red Hat Certified Engineer"
Data Science,Post Metric Economic Management Analysis,,"Application Compiler Site Developer,  Transport Supervisor","Customer Relations,  Advertising,  Council,  Banking,  gis,  Marketing,  Newspaper"
,Certificate In Computer System Fundamentals,,,"Java Programming,  Java Servlets,  Javascript,  SQL,  Jdbc,  XML,  Perl,  PHP,  RMI"
,Programming,,,"Sql Svr,  Visual Basic,  Html / Web Development,  Microsoft Access,  Project Planning"
,Diploma Business Admin It,,"Quality Assurance Manager,  Support and Integration Specialist,  Support and Integration Specialist, Support and Integration Engineer,  Head Student Admin IT,  Oracle Developer DBA","Extensive It,  Finance,  Gsm,  And Education Busines"
,Development Programme In Labour Relations,,"Freelance Graphic Designer,  Freelance Illustrator,  Freelance Media Developer Flash Designer,  Coordinator Layout Artist Illustrator,  Illustrator,  Assistant,  Installation Technician,  Tutor","Apple Mac And Pc - Proficient,  Corel Graphic Suite,  Quark Express,  Microsoft Office,  Adobe - Photoshop,  Indesign,  Illustrator,  Macromedia - Freehand,  Flash"
,Share Point 2010 Application Developer,,"C#.NET Developer,  Sharepoint Developer","share point,  C#,  C# .NET,  Asp .NET,  Sql Server,  wcf,  Share Point,  Web Services,  Ajax"
,Bachelor of Science  Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)","SQL Developer,  Business Analyst,  Business Analyst","Leadership And Self-Management,  Teamworking,  Problem Solving,  Mathematical And Literacy,  Communication,  Good Analytitical Capabilities"
,Bachelor of Science  (Hons) Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University",Oracle Developer,"Oracle Sql,  Pl/Sql,  Oracle Warehouse Builder,  Linux Scripting,  Oracle Forms And Reports,  Rman,  Java Ee,  Cognos,  Apex"
,Microsoft Sql Server 2008 Business Intelligence Development And Maintenance,,"ETL Developer,  Business Intelligence Consultant,  Data Analyst,  BI Developer,  Data Warehouse Developer,  Data Analyst,  Credit Analyst,  BI Developer,  IT Engineer","Microsoft Excel,  SQL,  Unix,  ETL,  Data Modelling,  Teradata,  Datastage (Etl),  Ssas,  Tcp/Ip"
,Ph.D in Electronic Engineering,,"Software Engineer,  Software Developer,  Software Project Manager, Software Consultant,  Software Project Manager,  Software Developer,  Development Engineer","Software Project Engineer,  Software System Engineer,  C,  SQL Server,  C++,  Matlab"
,Nd Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)","MIS Analyst,  Data Analyst,  BI Analyst,  systems analyst,  database administrator, Junior Developer","SAS EG,  SAS BASE,  Microsoft Office,  Data Analysis,  System Support,  Data Manipulation,  SQL,  SAS,  Technical Programming (C++\\Delphi)"
Data Science,Diploma In Datametrics,,"General Manager IT,  CIO,  Manager,  CIO,  Manager, Developer Programmer,  Project Mangager,  Foundry Metallurgist,  Metallurgist in Training","Microsoft Office - All Products,  Labware Programming And Maintenance (Lims),  Sql Server 2000,  Visual Basic,  C And C++ Programming,  Project Management,  Visual C++ Programming,  Xrf Analyses And Method Development,  Oes Analyses And Method Development"
,Diploma In Information Technology - Programming,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)",Programmer,"SQL,  HTML,  PHP"
,Bachelor of Commerce: Marketing,,"None, Shop Floor Assistance,  In-Service Trainee,  Cashier","Microsoft Office,  Trouble Shooting"
,Bachelor of Science . Agric Animal Science And Agricultural Econo,,"IT Consultant,  Developer IT Consultant,  Jonior Developer,  Second Lieutenant,  Temporary Farm Manager,  Temporary Farm Manager","C/C++,  Powerhouse,  Data Warehousing (Microsoft Dts),  Cold Fusion,  SQL"
,MBA,,"Software Developer,  Senior Software Development Engineer,  Principal Technician","C++,  C,  Software System Engineering,  Project Management,  Visual C++,  Java"
,Bachelor in Technology,,"Analyst,  Database admnistrator,  Tester,  Developer,  Database admnistrator","Microsoft visual studio,  System Testing,  Microsoft SQL Sever,  Microsoft Office,  Microsoft Visual Studio,  Computer Literacy,  Report Writing,  Database Design Using Oracle And Mysql,  Programming Using Java"
,Bachelor of Science Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)",,".NET 1 And 2,  Visual Basic .NET,  C#,  Sharepoint Portal"
,Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)",,"MS office,  web developer,  Media relatons,  mobile app developer(android),  HTML5,  CSS3,  Java,  JQuery"
,Bachelor of Science . Informatica (NQF 7),,"IT Solutions/Enterprise Data Architect, Enterprise Data Architect,  Data Warehouse Architect,  Lead Data Warehouse Architect Developer,  Systems Analyst Data Architect,  Manager Systems and Support,  Independent Estate Liquidator","Data Modelling,  Oracle,  Sql Server,  Sql/T-Sql,  Ief (Information Engineering Framework),  Uml 2.0,  Ooa&D (Object Oriented Analysis And Design),  C#,  Tmforum - Sid"
,Masters In Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University","Developer,  Software Engineer","C Sharp,  Sql Server 2005,  Asp.Net,  Vb.Net,  Ajax, Crystal Reports,  Dplx Reports,  Wpf, Sharepoint Server"
,NCCS,,"Solutions Architect,  Software Development Manager, Software Development Architect,  Software Development Manager,  SAP - Regional Operations Manager,  National Business Development Manager,  National Business Development Manager","C#,  JavaScript,  Asp.Net,  MVC,  HTML5,  SQL,  CSS,  Refer to skills matrix"
,Diploma in IT,,"Web Designer,  Software Developer,  Programmer","IDE,  GIT,  Microsoft office,  WordPress,  Visual Studio IDE,  Programming languages,  HTML and CSS,  PHP,  Bootstrap"
,Business Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)",Web and Mobile Developer,"LINQ,  Angular 1 &amp; 2,  Scripts\nMVC,  XAML,  C#,  WPF,  XML,  CSS3,  MSSQL / Data Extraction"
,DevOps Foundation Certificate,,"Head of IT,  Chief Information Officer,  CIO, Senior Consultant,  Development Team Lead,  Java Web Developer,  Java Developer","Project Management,  Software Development Management,  IT Management,  Performance Management,  Deployment Management,  SQL,  Resource Management,  Strategic Planning,  Risk Management"
,Bachelor of Science  Honor In Information Systems,,"Software DEVELOPER,  C# Developer,  Prograamer, Programmer","MSSQL,  JQuery,  AngularJs,  C#,  VB.Net,  Biztalk,  MVC,  C,  C++"
,B SC Internet Communications,,Web Developer,"Git,  Javascript,  Linux,  Grunt,  PHP,  HTML5,  Node.js,  CSS,  HTML"
,BA Communicaiton Science,,Communication,"Computer Literacty,  Communication,  Coordination,  Management"
,Bachelor of Science,,"Project Manager,  System Analyst,  Software Development Manager,  Team Lead,  Scrum Master, Software Developer,  Software Developer,  Programmer,  Software Developer,  Programmer,  Programmer,  Programmer","Windows,  Object Orientation,  XML,  Agile Development,  JSON,  REST,  Couchbase,  C#,  Git"
,Bachelor Of Business Science,,,"Programming,  Business Analysis,  Systems Analysis,  Project Management"
,Bachelor of Science  (HONS) Applied Mathematics,,"Quantitative Analyst,  Actuarial Analyst,  Financial Analyst, Business Analyst,  Financial Planner,  Advanced Query Resolution Analyst,  Product Developer","Microsoft Excel,  Financial Modelling Skills,  Problem Solver,  VBA,  MATLAB,  SQL"
,Bachelor of Science  It (Computer Science),"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University",,"Html,  C#,  Java,  Visual Basic,  Delphi,  Opengl,  c++,  Pascal,  Natural Adabas"
,Information Technology [Programming],"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)",graduate software developer,"Java,  sql,  Asp .NET,  vb,  C#"
,Bachelor of Science  Informatics,,Business Analyst/Project Manager,"Business Analysis,  Microsoft GP,  Econnect,  Agile Methodologies,  Visio,  SQL,  MS Project,  Sharepoint"
,Application Programming,,,"C++,  Java,  Visual Basic,  Com,  Dcom,  Oop,  Javascript,  Html,  Dhtml"
,Oracle 8i Application Developer,,,"Windows Nt,  Office 2000,  Forms 6,  Oracle Program Units Procedures Functions Packages,  Oracle Reports R6i,  Sql Pl/Sql,  Windows 2000,  Html,  Html"
,Bachelor of Science  I.T,,"Senior Web Developer,  Retail Banking Webmaster Team Leader,  Retail Banking Webmaster","Microsoft Office,  Programming,  Database Admin,  Sql Server,  Asp / VBachelor of Science ript"
,Bachelor of Science Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University","ICT Coordinator, Software Developer,  Systems Administrator Database Developer","Enterprise Streaming and Video Conferencing Solutions: Vidyo,  Adobe Connect,  Adobe Flash Media Interactive Server,  Adobe Media Live Encoder,  Microsoft Streaming Services,  Web Server Applications: Apache,  Internet Information Services (IIS),  Enterprise Applications: CRM Systems,  Novel Zenworks"
,Bachelor of Science  Computer Science & Informatics,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University","SharePoint, Junior Security Monitoring Agent","SharePoint Consultant,  PowerShell,  SharePoint Architectural Models,  SharePoint Online,  WCF,  Ionic,  CSS,  XLXT,  Angular"
,Senior Certificate,,"Uniform Police Officer,  Senior Manager,  Sales Person,  Draughtsperson Graphic Designer,  Draughtsperson Graphic Designer,  Credit Clerk Teller","Packaging Design,  Screen Printing Colour Breakup & Bleed,  Website Design & Development,  Database Design & Development (Sql / Mysql / Acces,  Microsoft Windows 9x/Nt/Me/Xp Maganement & Support,  Macromedia Dreamweaver,  Firework,  Flash,  Freehand"
,Microsoft Solutions Framework (Msf) - Pad,,"Developer,  Technology Consultant Developer,  Senior Developer,  Junior Developer,  Internet Developer,  Junior Ads Support Technician,  Takeaway Floor Manager,  Shop Assistant","ASP,  Xml And Related Technologies,  Msinternet Infromation Server And Related Services,  Html And Related Technolgies,  Biztalk Server,  SQL and MS SQL Server,  VB6,  .Net Framework,  C#"
,Masters Degree Cum Laude,,"Project manger,  Social Innovation,  Lecturer,  Industrial Designer, National Product developer,  Industrial Design","Research,  Microsoft office,  Project manager,  CAD,  Inventor,  Social Innovation,  Community engagement,  Lecturing,  Teaching"
,MBA,,"HR Business Partner,  Talent Management,  Talent Manager,  HR Development Manager, Head of Workforce Planning & Rewards,  HR Manager Workforce Planning & Resourcing,  Workforce Information & HR Systems Manager,  HR Process Developer,  Recruitment and Campus Manager,  Manager","Talent Management,  Performance Management,  Recruitment,  Workforce analytics,  Human Resources Information System,  Perfomance Management,  Compensation & Benefits"
,Bachelor of Science in information technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)","Web developer,  programmer,  recpetionist admin,  sales or marketting,  office job","Microsoft Excel. PowerPoint.,  Microsoft office,  Visual Basic.,  Microsoft Outlook,  web developer,  Java,  C### programming,  Mathematics,  visual basic"
,Female Leadership,,"Management, Specialist Wholesale Product & Market Development,  Specialist Wholesale Service Development,  Product Developer,  Technical Officer,  Service Representative,  Service Representative","Communication And Networking Skills,  Leadership,  Governance,  Strategic,  Computer Literate,  Entrepreneurial Thinking,  Financial,  Legal"
,National Certificate In Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)","Part Time Sales Consultant,  Tracer","Hardware Installations,  Web Applications Development (Php / Mysql),  Web Design,  Linux Administrator,  Project Management,  Network Installations / Cabling"
,Master in IT,,"Data analyst,  BI deverloper, .NET Developer,  .NET Developer,  Web Developer","Ssrs,  Ssas,  Operating Systems,  Crystal Reports,  Ssis,  Web Servers,  Dreamweaver,  wpf,  Dev Express"
,Student Bachelor of Science (It),,,"Advanced Flash,  Action Scripting,  Css (Style Sheets),  Java Script,  Macromedia Flash Development,  Html, Dhtml,  Digital Music Production (Reason,  Cubase)"
,Advanced Diploma In Software Engineering,"Moringa School, eMobilis Training Institute","Systems Analyst,  Software Developer,  Software Developer, Credit Office Associate","Bentley Structural,  Bentley Microstation,  Bentley Projectwise,  SQL,  Bentley Navigator,  Datamanager,  Bentley Plantspace Design Series,  Bentley Plantspace P&Id,  Autocad"
,Web Development With Php (Mysql,,"software developer,  junior developer,  Web Developer,  Java Web Developer,  Junior Java Developer,  junior developer","Microsoft Office,  java oca7,  jquery,  illustrator,  photoshop,  javascript,  java oca 8,  html5,  mysql"
,Bachelor of Commerce Degree In Informatics,,"Database,  Internet Database Administrator,  Sales Manager,  Dance Teacher,  Artisan Electronics Technician,  Sales Consultant,  Door-To-Door Sales Training Manager Sales Trainer","Css (Cascading Style Sheets),  Html (Hyper Text Markup Language),  Asp (Active Server Pages)"
,Ming: Aeronautics & Control Systems,,Software Developer,"Software Dev. (C/C++/C#/Asm),  Matlab & Simulink,  Embedded Development (Avr/Pic/Sbc),  Graphic Design,  Linux & Derivatives"
,Bachelor of Science i Computer Science Honours,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University",,"Windows 2000 Environment Technologies,  Programming In Microsoft .Net (C#,  Vb.Net),  Programming In C++,  Programming In Java,  Public Speaking Skills"
,Certified Lotus Professional (Clp),,,"Lotus Notes R5 + R6,  Lotus Script,  Web Site Development"
,information technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)","Test Analyst,  Junior Software Developer,  Junior Java Developer,  Junior Business Analyst,  Business Analyst","postman,  Linux,  Jenkins,  angular js,  netbeans,  test methodologies,  webmethods deployer and jira,  \u2022,  Java Docs"
,National Senior Certificate,,,"Vmware,  windows OS,  Active directory,  Router Monitor,  WindowsServer 2008/2012,  Windows Server 2008/2012,  Linux,  Print server,  Excellent."
,Php Advance Development Course,,"Senior Web Developer,  Senior UI Developer,  Web Developer,  Front-End Developer,  Senior UI Developer,  Web Developer, Creative Lead,  Designer","Adobe Photoshop,  JavaScript,  Mailchimp,  Google Analytics,  Responsive layout,  Browser compatibility,  Bootstrap,  Joomla,  PHP"
,Special Honors in Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University",Developer,"Mobile Application development,  Quick to learn and use what has been learnt,  Web,  Database Management,  Server Management,  C# development"
,DOCTOR OF PHILOSOPHY IN COMPUTER SCIENCE(Current),"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University","Business Analyst,  C# Web Developer,  Scrum Master","Business Analysis,  C# web development,  research,  Agile Methodology,  MSSQL,  Web development,  Leadership,  Research,  Business analysis"
,Ndip It,,"Software Developer, Software Developer,  Software Developer","C#,  Java,  Visual Basic,  Pastel Integration,  MySQL,  SQL,  Microsoft Office,  Javascript / Jquery,  C++ Programming"
,Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)",Web/Software Developer,"Microsoft Word,  Asp.Net,  Vb.Net,  First Aid,  Programming,  Microsoft Access,  Html,  Microsoft Powerpoint,  Microsoft Excel"
,Bachelor in Technology,,".NET Developer,  C#.NET Developer, Software Developer","asp,  sql,  C#,  JQUERY,  entity framework,  linq,  ado .NET,  web services,  JAVA SCRIPT"
,Bachelor of Science  Information Tech./Computer Science(Suma Cum L),"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University","Senior Software developer, Software Engineer,  Tutuor,  General Retail Administrator Developer","spark,  angular 2,  C# web api,  aws,  C#/.Net,  C++/.Net,  Vba/Vb6,  Java,  Visual Basic 6"
,Business Administration And Management,,"Web Designer and Developer,  Graphic Designer","Html,  Dhtml,  Javascript,  Dreamweaver,  Fireworks,  Corel Draw 7 To 10,  Adobe Photo Shop,  Freehand"
,Bachelor Of Social Sciences,,"Project Coordinator, Researcher,  Researcher,  Customer Service,  Researcher,  Book Seller,  Administrator,  Sales Representative,  Research and Administrative Assistant","Research,  Report Writing,  Customer Relations,  Administration,  Database Administration,  Driving,  Budgeting,  Communication Skills,  Negotiation"
,Practical Usability Testing Course,,"Tester,  Developer,  IT/Network Technician,  Developer,  IT/Network Technician","HTML,  SOAP,  XHTML,  UNIX BASICS,  SQL,  Software testing,  Software Testing,  Computer Technician,  Programming"
,Diploma in international trade,,manager,"Powerpoint,  excel,  word,  Portuguese 2,  Portuguese 1"
,Seagate Crystal Reports,,,"Junior Delphi Programmer,  Seagate Crystal Reports"
,Microsoft Certified Professional (Mcp) \u2013 Implement,,"Transmed,  Developer,  Web Developer,  Developer,  Developer,  Junior Programmer,  Payroll Administrator","MS SQL,  HTML,  MS Visual Basic 6.0,  VBachelor of Science ript,  ASP,  MS Visual Studio 6.0,  MS Windows,  Javascript,  MS Visual Studio .NET"
,Bachelor Of Science,,Senior Software Engineer,"System Analysis,  Web Development,  .Net,  OOP,  SQL,  Database Design,  System Architecture,  C#,  MVC"
,Hons. Bachelor of Science (Comp Sci & Inf Syst),,"Account Manager,  Software Team Leader,  Snr Software Developer,  Software Team Leader,  Snr Software Developer, SNR Wflow Dev Moss Consultant and T L,  Senior Software Developer,  Senior Systems Trainer .NET SQL SRV,  Senior Programmer .NET,  Developer System Administrator,  Safety Health and Environmental Officer","Microsoft Transact Sql,  Crystal Reports,  Requirements Gathering And Documentation,  Microsft Visual C#.Net 1.0 - 4.5,  XML,  Database Design,  Visual Studio.Net 2003/2005/2008/2010/2012,  Software Process Administration,  MS SharePoint 2010"
,Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)","SharePoint Developer/Administrator,  Junior SharePoint Administrator, Junior Business Intelligence Developer,  Numerator,  Feildworker","Sharepoint,  Sharepoint 2010 Application Development,  C# Sharp,  Asp.Net,  Sql Database,  Maintaining Sql Server 2008 Database,  Implementing And Maintaining Ssas, Ssrs, Ssis"
,Bachelor in Technology,,"C# Developer,  .NET Developer","SQL,  JAVA SCRIPT,  CSS,  HTML,  WCF,  WPF,  AJAX,  MVC,  WEB SERVICES"
,Photography Diploma,,"Developer,  Systems Administrator,  Photographer,  Web Developer, System Administrator,  IT Technician","Management,  IT Service,  Microsoft Publisher,  Solid Edge,  Software Installation,  Financial Reporting,  GIMP,  Excel Dashboards,  Lightroom"
,Nd Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)","ASP.Net Developer,  VB.Net Developer,  VB.Net Developer","HTML,  MS SQL 2008,  Delphi,  Asp.Net,  C#.Net,  Vb.Net,  VB,  PHP"
,Bachelor in Technology,,Senior Consultant,"PHP,  Flex,  Dojo,  Oozie,  Hive,  Pig,  HBase,  Hadoop ( HDFS,  Sqoop and Apache"
,National Diploma in Software development,,Systems developer,"C++ developer,  php developer,  C# developer,  pl/sql,  sql,  none,  systems development,  hardware and software support"
,Honours Bachelor of Science  (Information Technology),"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)","Business Analyst, Cashier","Project Management,  Asp.Net C#,  SQL,  Business Analysis"
,National Diploma in Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)","Information Technology,  IT technician,  Business Analyst,  Business Administrator,  Software Developer","Software Development,  IT Essentials,  Business Analysis,  CCNA Routing and Switching Networks,  Oracle Database Management,  Communivation,  Software Developer,  interpersonal,  Teamwork"
,Advanced Java,,"Desktop Engineer,  Developer,  Sales Assistant",Software Development
,Ba Sports Sciense,,"Merchandice Sales Manager,  FMCG Stock Manager,  Greenkeeper,  Golf Steward","Internet Google Email Literate,  MS Office.. Word,  Excel,  Powerpoint,  Open Office.. Word Excel,  Coreldraw,  Arc View Gis,  Geography"
,Project Management Professional Online Training,,Developer,"CMMI,  SSRS,  Crystal Reports,  SQL Server,  ASP,  XML,  Project Management,  SSAS,  C#"
,Mca,,"Senior Software Engineer,  Tech Lead, Programmer","Java/ J2ee,  Guidewire,  Oracle, Db2, Unix, Linux,  Webservices,  Servlets, Jsp"
,Bachelor of Science  Computer Science and Environmental Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University",Java Developer,"JDBC,  tomcat,  Servlets,  Collections,  Jsps,  Java swing,  Multithreading,  spring mvc,  restful and soap web services"
,Programme In Basics Of Business,,"Database Administrator,  ETL Developer,  ETL Developer, Analyst Administrating SQL 2000,  Senior Spesialis System Security,  Analyst Personal Loans,  Personal Loan Selector,  Debt Collector,  Semi Skilled Contract Worker","Microsoft Sql 2000/2005 Transact-Sql,  Microsoft Sql Server 2000/2005 Administrator,  Ssis 2005,  Microsoft Word,  Microsoft Office,  Microsoft Exce,  Data Stage,  Ssis 2008,  Microsoft Sql Server 2005"
