Course,Institutions
Master Of Computer Application,
Master of Business Administration (MBA),
Bachelor of Science,
Graduate Diploma In Marketing Imm,
Bachelor of Science  \u2013 Computer Science And Mathematics,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Bachelor Of Arts,
Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Financial Market Operations,
Bachelor of Science  Hon Computing,
Project Management Certificate,
B.Com Information Systems,
Astronautics and Space Engineering,
Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
MSC IN IT,
Bachelor in Technology,
Bechlors Degree In Commerce,
It Support,
Masters of Science. Electrical Engineering,
National Diploma in electronic engineering Computer systems,
Oracle Database SQL Certified Expert,
Bachelor of Science . (Information Technology),"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Certificate In Oracle Database 10g,
Bachelor of Science  Computer Science And It,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Bachelor of Science Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Masters In Business Leadership,
Digital Imaging Certificate,
Master Of Computer Applications,
European Studies,
Computers,
Bachelor of Technology(It),
Bachelor Of Commerce (Information Systems),
Certificate,
Visual Basic 6,
Software Tester - Foundation Level,
Bachelor of Commerce It Honours,
Bachelor Computer Applications,
Mcse+I,
System Development For Programming(Completed),
Bachelor of Science .,
Mcpd (Enterprise Applications Developer),
B.Com Informatics,
B.Is (Information Science) (It),
Bachelor in Technology: Consumer Science: Food And Nutrition,
Master Of Computer Application,
Human Resources Development And Training,
Microsoft Office Specialist \u2013 Word 2003,
National N6 Diploma,
National Diploma,
Bachelor of Science,
Bachelor of Commerce Honours Business Informatics (Part-Time),"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Kenya Methodist University, Management University of Africa, Pan Africa Christian University, Scott Christian University, St. Pauls University, Strathmore University, Zetech University, Dedan Kimathi University, Jomo Kenyatta University(JKUAT), Multimedia University"
National Diploma In Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Information Systems,
Nd: Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
System Support,
Assessor and Moderator,
TOGAF 9 Certification,
Diploma Computer Science,"Gretsa University, St. Pauls University, Uzima College, Zetech University, University of Kabianga, Muranga University, South Eastern Kenya University"
Honours Degree,
Information Systems,
International Computer Driving Licence(Icdl),
National Diploma It,
IT Database development Diploma,
Higher Diploma In Education,
Ndip: Engineering Computer System,
Imm Marketing Certificate,
Bachelor of Arts Degree: Visual Multimedia,
Infrastructure Management Services Certificate,
B tech Honours,
Bachelor of Science  Honours,
Information Systems,
B.Com Informatics,
Lean SixSigma Green Belt,
Masters in Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
MS Projects 2002,
Bachelor of Commercem Marketing And Business Management,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Kenya Methodist University, Management University of Africa, Pan Africa Christian University, Scott Christian University, St. Pauls University, Strathmore University, Zetech University, Dedan Kimathi University, Jomo Kenyatta University(JKUAT), Multimedia University"
MIT (Mastering Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
BSocSci,
Project Management Diploma \u2013 Slp,
MBA,
Engeneering,
Certificate,
Hyperion Essbase Analytics Certification,
BA Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Digital marketing,
Bachelor in Technology,
Software Testing Intermediate,
Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
National Diploma in Information Technology(IT),"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Developing .NET Web Applications W/ Sql Databases,
B.App.Soc.Sci Degree,
License To Lead,
D.Dip :Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Microsoft Certified Professional,
B.Comm (Computer Science),"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
B.Com Information Systems,
Bachelor of Science Information Systems,
Diploma In Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
MCSD,
Bachelor of Science,
Bachelor in Technology Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
D Litt,
B Sc Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Visual Basic 6,
Bachelor of Technology in Electrical Engineering,
ICDL,
ND Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Bachelor of Science  IT Software Engineering,"Moringa School, eMobilis Training Institute"
MSc Aeronautical Engineering,
Bachelor Of Technology(Computer Science),"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
MCSD,
Masters Of Computers,
NDIP: IT (Web Application and Development),
Certified Scrum Master,
Advanced windows Store Apps using HTML5 with JavaScript and CSS3,
National Diploma Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
70-461 Certification,
Matric,
Bachelor of Science  In Computing,
Financial Economics & Investment Management,
National Diploma -Software development,
Bachelor of Science (Hons) Computing,
A-Levels,
Ndip Electronic Engineering,
Bachelor of Science  Computer Science And Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Information Technology (Software Development),"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
End-User Computing,
Bachelor of Science Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Ba Communication,
National Diploma In Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Java Certification,
Business Focused Project Management,
Nd:Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Meng (Electronic and Electirical Engineering),
ITIL 2011 Edition Foundation,
Diploma,
M.Sc,
National Diploma,
Mcdba.Net,
Project Management,
Java SE 8 Programmer 1,
Master of Computer applications,
Management Certificate,
B.Com,
Diploma In Advanced Computing,
M.Sc,
Bachelor of Commerce,
Bachelor in Technology. In Computer Science And Engineering,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Customer Care And Billing (Cc&B) Certificate,
Bachelor in Technology,
Web Development,
M.C.A (Masters Computer Applications,
Web Development,
National Security Diploma,
MCSA,
Matric,
Master Of Computer Application,
Microsoft Certified Solutions Associate,
12grade,
Masters in Business Administration,
Lectora Publisher: Advanced,
Matric,
New Managers Programme,
Master Of Fine Arts In Filmmaking,
Bachelor of Science  Information Science,
Diploma In Java,
Oracle Developer,
LLB,
P.G.D.C.A,
Certificate Programme In Business And Management,
National Diploma Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Masters Com (Business Management),
Bachelor of Commerce Informatics 3rd Year,
Computer Engineering,
Continued Professional Development Programme,
System Development NQF level 5,
Certificate In Project Management,
National Certificate In Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Bachelor of Science  Honours in Infomation Systems,
Certified Programmer,
Multimedia Three Year Intergrated Fine Art Animation And Graphic Design,
Microsoft c# specialist,
IT DIPLOMA,
National Diploma:Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Sql,
Bachelor in Technology Degree,
BA-Development studies,
Matric,
National Diploma Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Bachelor of Science (Computer Science),"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Information Technology (Software Development),"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Bachelors Degree In Arts (History And Philosophy),
Bachelor of Technologies,
Certificate in Advanced Project Management,
Adobe Photoshop Cs,
B Sc Honors (Chemistry),
Certificate in information Systems,
certified Netweaver 7.3 development associate,
Masters in Project Management,
Bachelor Of Technology In Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Microsoft Project,
Sabpp - Accredited Hr Practitioner,
M.A Industrial Psychology,
Post-Graduate Diploma In Management Business Admin,
Certificate In Smme  Management (With Distinction),
B.Com(IT) - (Information Systems & Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Information And Communication Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Bachelor in Technology Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Microsoft Crm 2011,
Advanced Diploma in Software Engineering,
National Diploma,
PhD (Computer Science and Information Systems),"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Bachelor in Technology Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
POST GRADUATE DIPLOMA IN BUSINESS ADMIN,
None,
Transportation Management,
National Diploma In Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
National Diploma,
Mba(It),
B- Tech Food Science and Nutrition,
ND: Consumer Sciences: Food and Nutrition,
Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Mechanical Engineering,
Project management Diploma,
National Certificate: banking Service advice NQF Level 5,
Bachelor of Science  Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Certified Product Owner,
Certificate in Bioentrepreneurship,
B-tech degree in financial information systems,
Post Graduate Diploma in Software Development,
Oracle Education,
Matric,
Bachelor of Technology in IT (Business Applications),
Bachelor of Science Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
ITIL v3 Foundation,
Diploma in Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Nationa Diploma in IT,
Senior Certificate,
Course in Strategic Management,
Bachelor in Technology,
MCA,
Bachelor of Science  Business & Franchise Management,
SQL Database administrator,
M.Com (Finance),
Bachelor in Technology,
Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Matric,
MCSD- Web Applications,
Master Bioinformatics and Modling,
Computer Science Diploma (CS. DIP),"Gretsa University, St. Pauls University, Uzima College, Zetech University, University of Kabianga, Muranga University, South Eastern Kenya University"
Bachelor in Technology,
Linux Eseentials,
Bachelor of Commercem,
Mcp,
ISTQB - Foundation (software testing),
Mcp - Developing And Implementing Web Applications,
Master Of Science It (Information Security),
National Diploma: Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Bachelor Of Science Honours,
Publications And Columns:,
Damelin - Professional Advertising,
Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Bachelor of Science ,
Bachelor in Technology Industrial Engineering,
B.Com Financial Management,
Object Oriented Analysis And Java Programming,
Bachelor of Science  Scientific Computing,
Laravel Programming,
Software Development,
Microsoft Certified Professional,
Diploma In E-Commerce And Web Management,
Diploma In Programming,
Bachelor of Science  in IT and Computer Science. SoftWare Engineering stream,"Moringa School, eMobilis Training Institute, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Diploma/Degree,
Systems Analysis And Software Development,
MBA,
MCSA Microsoft SQL Server 2012/ 2014,
Togaf Certification,
Business Analysis Essentials,
Prince 2 - Project Management,
National Diploma In Mining Engeneering,
Bachelor Of Science Honours Degree Information Sys,
Bachelor of Science  Information Technology Degree,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Embedded Sql,
Istqb Foundation,
General Management Programme(GMP)),
Business Analysis Diploma,
Microsoft Certified Professional,
Bachelor Of Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Information Technology Degree,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Engineering: Electrical (Telecommunication Techn),
National Diploman In It,
It Certificate(Itblp),
Ios App Master,
IT Software Development,
Masters (Microbiology),
Course designer,
Bachelor of Science  Electro-Mechanical Engineering,
Mcd (Master In Computers Diploma),
Advanced Diploma In Information Technology-Programming,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
OCPJP 6(Oracle Certified Professional,
BAchelors of Science Honours,
Bachelor in Technology,
Oracle 10g Sql & Databases,
TOGAF,
Bachelor of Science  Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
National Diploma Computer Data Processing,
Diploma In Business Analysis,
Bachelor of Science is(Bachelor Of Science Information Systems),
Bachelor of Science Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Bachelor of Science  Computers,
Microsoft Certified Technology Specialist(MCTS),
Matric,
National Diploma: Computer Systems Engineering,
Master In Computer Application,
Electrical And Computer Engineering,
Bachelor of Science  Information Systems,
Bachelor of Science  Computer Science &Mathematics,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Masters of Science Astrophysics,
Bachelor of Science  Honours in Computing,
BIS (HONS) Information Science,
Bachelor of Science  in Mathematics and Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Masters of Scienc in Mathematics,
Diploma Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Oracle Certified Forms Professional (OCP),
PHP Web Developement Certificate,
National Diploma - Cdp,
Bachelor of Science  Computer Sciences,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Business Management,
Mcts - Sharepoint Developer,
Mcad .NET,
certificate of Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Ms.C -Software Engineering,
Mca,
Qlikview Designer Course,
Microsoft Professional Systems Developer,
Bachelor Of Computer Science And Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Bachelor of Science  Honours,
MBA,
Matric,
Complex Solutions Sales - 2002,
M.Eng Electronics,
NQF6,
Mcp,
Comp.Sci. Research Thesis,
Nqf Level 5,
Bachelor of Technology in ICT,
Bachelor of Science  Honns IT and IS,
National Deploma,
Bachelor in Technology Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Certificate in Fundamental Accounting,
Ba Human Resources Management/ Psychology,
Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Bachelor of Science Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
C#. Net,
Bachelor of Science (It),
Oracle Developer Certified Professional,
Post Metric Economic Management Analysis,
Certificate In Computer System Fundamentals,
Programming,
Diploma Business Admin It,
Development Programme In Labour Relations,
Share Point 2010 Application Developer,
Bachelor of Science  Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Bachelor of Science  (Hons) Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Microsoft Sql Server 2008 Business Intelligence Development And Maintenance,
Ph.D in Electronic Engineering,
Nd Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Diploma In Datametrics,
Diploma In Information Technology - Programming,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Bachelor of Commerce: Marketing,
Bachelor of Science . Agric Animal Science And Agricultural Econo,
MBA,
Bachelor in Technology,
Bachelor of Science Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Bachelor of Science . Informatica (NQF 7),
Masters In Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
NCCS,
Diploma in IT,
