Course,Skills
Bachelor of Science Computer Science,"C# Programming,  Excel And Vba,  Vb 6 And Vb.Net,  C++ Programming"
Masters In Business Leadership,"Life Management,  Communication Skills,  Problem solving,  Technical,  Data Modelling and Design,  Application Architecture,  Project Management,  System Design,  Business Process Analysis"
Digital Imaging Certificate,"art,  Graphic Design,  Layout Design,  Brochure Design,  Proposal Coordinating,  Posters,  Contract Management,  Customer Relations,  Newsletters"
Master Of Computer Applications,"Adso,  Benefits Administration,  Capability Maturity Model,  Cics,  Cobol,  Customer Relations,  Customer Support,  Database Administration,  Delivery"
European Studies,"Fast Typing,  Oral And Written Communication,  Expert Recruitment,  Negotiation,  Partnerships"
Computers,"SAP PO,  SAP XI,  SAP PI"
Bachelor of Technology(It),"T-Sql,  Vb.Net,  C#,  Ado.Net,  VBachelor of Science ript,  Javascript,  .NET Frame Work 1.0, 1.1, 2"
Bachelor Of Commerce (Information Systems),"Search Engine Optimisation,  WordPress,  SEO,  Technical SEO,  Google Analytics,  Social Meida,  Macromedia Dreamweaver 8,  Google Website Optimiser,  Microsoft Office"
Certificate,"Data Analysis And Reporting,  SAS,  Sas Admin / Performance Tuning / Os Integration,  Ms-Windows (Server And Client) - All Versions,  Ms-Dos - All Versions,  Ms-Excel,  Ms-Office 97, 2000, 2003"
Visual Basic 6,"Powerbuilder,  Sybase Sql,  Visual Basic 6"
Software Tester - Foundation Level,"AWS Cloudwatch,  Software Testing,  Testing,  XML,  Splunk,  TestRail,  Confluence,  LNP,  JIRA"
Bachelor of Commerce It Honours,"Sas Tools,  Business Intelligence And Mangement Of Information,  Data Warehouse Developer,  Programming,  Software Engineering Skill,  Cognos,  Oracle Bi"
Bachelor Computer Applications,"Data Conversion,  Data Migration,  Database Administration"
Mcse+I,"Windows 3, 95, 98, 2000,  Xp,  Nt,  Adobe Photoshop 4, 5, 6"
System Development For Programming(Completed),"Internet,  Microsoft Access,  Microsoft Excel,  Lotus Smart Suit,  Powerpoint,  Microsoft Word,  Win 95,  Microsoft Exchange(E-Mail),  Win 98"
Bachelor of Science .,"Natural/Adabas,  Magic 5.5,  Visual Basic 3"
Mcpd (Enterprise Applications Developer),".NET,  C# (V1,  V2,  V3),  Javascript,  SQL,  Asp.Net,  Dhtml,  Asp.Net Mvc"
B.Com Informatics,"XML,  Enhance Current Program Code,  Programming In Magic8.3,  Test Procedures And Test Cases,  Writing Queries Or Scripts In Pl/Sql,  Analysis Of Business Processes,  Data Modeling - Microsoft Office Visio 2003,  Development Of Business Requirement Specifications,  Natural / Adabas"
B.Is (Information Science) (It),"Javascript,  SQL,  HTML,  Php 4 & 5,  Java,  Visual Basic.Net,  XML,  Systems Development,  Nusoap"
Bachelor in Technology: Consumer Science: Food And Nutrition,"Computer Literacy,  Food Styling"
Master Of Computer Application,"Sqlserver 2005, 2008,  c#,  Asp.Net 3.5"
Human Resources Development And Training,"Hr Expert (Hr Management System),  Pibspeex (Psychometric Testing And Job Profiling),  Microsoft Windows 95, 98,  Me,  Nt, 2000,  Microsoft Office,  Seagate Crystal Reports"
Microsoft Office Specialist \u2013 Word 2003,"MS Office Suite,  Data Analysis,  Report Writing"
National N6 Diploma,"Delphi,  Visual Interdef 6 Asp Web Development,  Microsoft Access 2000,  Microsoft Sql Server 7,  Sql Server 2000,  Microsoft Visual Basic 6,  Microsoft .Net Frameworks,  Oracle 8i,  Crystal Reports 8"
National Diploma,"JQuery,  CSS/3,  Html/5,  UAT,  Linux,  PHP,  JavaScript,  Prince2 Foundation,  Dreamweaver"
Bachelor of Science,"Object Oriented Design,  Java,  SQL,  UML,  Oracle,  XML,  Spring,  Hibernate O/R Mapping,  Apache Tomcat Web Server"
Bachelor of Commerce Honours Business Informatics (Part-Time),"Ador  (Bespoke) Wms,  Gics (Bespoke) Wms,  MS Visio,  MS SQL Server,  MS Projects,  Crystal Reports,  Syspro Erp,  C# Programming,  Cognos Report Authoring"
National Diploma In Information Technology,"Html, Asp, Vb Script And Java Script,  Customer Service, Merchandising Clothes And Cashier,  New Account Visual System, Switchboard Operator,  Retek Operator, Stocktaking"
Information Systems,"C#,  Sql 2000 - Sql 2008,  Java,  Sharepoint,  Vb.Net,  Sybase,  Silverlight + Wcf,  Infopath Forms,  Python"
Nd: Information Technology,"SSAS,  POWERVIEW,  SSRS,  SSIS,  Windows (2000,  Xp,  Vista,  7),  Microsoft Office Suite (2000"
System Support,"Trouble Shooting,  Hardware Installation,  Windows OS,  Technical Support,  System Support,  Software Installation,  Software Updates,  Microsoft Office,  Hardware Testing"
Assessor and Moderator,"Assessor,  Moderator,  Counsellor,  Course Developer,  Facilitator,  Social Science degree (honours),  powerpoint,  Microsoft word,  Computer literacy"
TOGAF 9 Certification,"Software Development,  System Analysis and Design,  Application Support,  Database Administration,  SQL Development,  Software Testing,  Report Writing,  Communication,  Documentation"
Diploma Computer Science,"MSSQQL,  EXTJs,  asp .NET mvc,  C# backend development,  JQuery,  Angular"
Honours Degree,"Python,  Php,  c#,  c++,  I can be able to develop software systems using various programming languages such as Java,  Microsoft SQL SERVER (2014-2016),  Microsoft Dynamics Nav Developer (2009R2 to 2016),  Passionate programmer,  Software"
Information Systems,"SAP Business one Developer \u2022,  Biztalk Specialist \u2022,  Oracle Certified Java programmer,  Microsoft Certified Associate : Web development \u2022,  C#,  Fuelphp"
International Computer Driving Licence(Icdl),"Json,  Ajax,  HTML,  PHP,  Wamp,  Windows,  MS suit,  Apache,  Adobe Suit"
National Diploma It,"CSS,  Java,  PHP,  3ds Max,  Photoshop,  Visual Basic .NET"
IT Database development Diploma,"Querying data with T-SQL,  Provisioning SQL Databases,  Implementing a SQL Data Warehouse,  Administering SQL infrastructure using T-SQL,  Developing SQL databases,  Developing SQL Data Models,  SSRS SSAS SSIS,  Troubleshooting,  Fast learner"
Higher Diploma In Education,"Regulatory Exam material training,  Soft Skills training,  Higher Diploma in Education,  Microsoft Word,  PowerPoint,  FAIS and short term insurance training,  AS400 sales systems training,  Material design and development through Verycoolideas,  Excel"
Ndip: Engineering Computer System,"Microsoft office,  C++,  flash,  ms sql databases,  Angular,  ASP,  C#,  Linq,  Cprogramming"
Imm Marketing Certificate,"Photoshop,  Hmtl,  Media Relation Building,  Quark Xpress,  Microsoft Office,  Staff Management,  Marketing Stratey,  Project Management,  Image Ready"
Bachelor of Arts Degree: Visual Multimedia,"Adobe Premiere Pro,  Content Management Systems,  Adobe After Effects,  HTML,  Adobe Dreamweaver,  Adobe Photoshop,  Mac OS,  Adobe InDesign,  Adobe Creative Cloud 2017"
Infrastructure Management Services Certificate,"WORDPRESS,  JIRA,  FRUITYLOOPS STUDIO,  ADOBE ILLUSTRATOR,  GIT,  PHP,  BOOTSTRAP,  ADOBE PHOTOSHOP,  SUBLIME"
B tech Honours,"Microsoft Visio Professional,  MS Access,  IBM DB2,  Microsoft windows server,  IBM mainframe z10,  HP Quality Centre,  SQL Server 2008 R2,  Atlassian JIRA,  SWIFT message processing"
Bachelor of Science  Honours,"Report Design, Maintenance, User Support, Ad Hoc Rpts,  .Net,  Vb.Net,  Sql Server 2000,  Asp.Net/Html?VBachelor of Science ript,  Sql Server Reporting Services 2008/2005"
Information Systems,"Microsoft Office,  Uml,  Pmbok And Babok,  Business Process Modelling,  Data Modelling,  Databases,  Software Development,  Enterprise Content Management,  Business Process Management/Workflows"
B.Com Informatics,"SQL Server,  .Net Developer (C#),  SSRS,  C# Asp.Net,  Vb.Net,  WCF services (SOA),  CSS,  SSIS,  Java Script"
Lean SixSigma Green Belt,"Scrum Coach,  Process Manager,  Scrum Master,  XSL,  Dhtml,  Asp (Classic),  C++,  C Sharp,  Iis 4/5/6/7"
Masters in Computer Science,"Javascript,  HTML,  Ruby,  C#,  C++,  SQL Server,  Java"
MS Projects 2002,"Sales and Marketing,  SAP MM Training Content Developer,  ADDIE Model,  SAP MM end-User Trainer (Pre and Post Implementation),  E-Learning Developer,  E-Book Developer,  LMS Design and Implementation"
Bachelor of Commercem Marketing And Business Management,"Business Management,  Excel VBA Development,  Reporting,  Time Management,  Marketing Management,  Budgeting,  operations management,  strategic planning,  emarketing"
MIT (Mastering Information Technology,"Sql Dba\\Developer,  Sql Server 2005 - 2012,  qlikview developer,  SSIS,  qlikview,  Excel,  SSRS,  General Computer Skills,  Microsoft Word"
BSocSci,"OOP,  PHP,  C#,  Xamarin,  AJAX,  SQL,  CSS,  HTML,  JS"
Project Management Diploma \u2013 Slp,"Unix Shell Scripting (Automation),  Oracle Dtabase Administration,  Unix Administration,  C/C++/Proc Programming,  Microsoft Office Automation,  It Project Management,  Sap Basis Administration,  Html,  VBachelor of Science ript Javascript Development"
MBA,"Decision Making,  Creative Thinking,  Business Concepts Development And Implementation,  Computer Literacy,  Client Confidence Building,  Management,  Goal Setting And Goal Achieving,  Analyst Of Sales And Other Data,  Communication"
Engeneering,"SSAS,  SSIS,  SQL SERVER DBA,  Power Bi,  SSRS,  .NET"
Certificate,"Programming Languages \tVisual Basic C# HTML/5 JScripts/JQuery CSS/Bootstrap Server \tSQL Server 2008/10 Reporting Services Server 2008 IIS 6/7 ABAP DOM\\CSS\tCreate Programs(SE38/SE80etc) UI Debug errors tracing \t Others \tAdvanced Excel Advanced Access Windows XP and 7 OS,  Microsoft Word,  Computer Literacy,  Excel Data Analyst,  Excel  Advanced Formulas,  Access,  Window Applications,  Sap Ecc,  Vb .NET"
Hyperion Essbase Analytics Certification,"Business Intelligence,  Business Analyst,  Hyperion,  Project Management,  All Ms Packages,  Vb6,  Sql,  Sharepoint,  BI"
BA Computer Science,"Java,  GIS,  .net,  MapInfo Technology,  C#,  SQL Server,  Oracle,  JavaScript,  Business Intelligence"
Digital marketing,"ITIL,  Online marketing,  HTML5,  MySQL,  JAVA,  Javascript,  VB.net.CSS,  SEM,  Analytics"
Bachelor in Technology,"JCL,  TSO-ISPF,  Remedy AR-Client,  DB2,  SDSF,  COBOL,  SQL,  IBM-Debugger,  CICS"
Software Testing Intermediate,"Configuration Engineer,  Business Intelligence Analyst,  Software Tester,  SQL query analyst,  Microsoft Office,  SharePoint,  SharePoint Designer"
Information Technology,"C#,  Html,  Python,  ASP.NET,  Agile development,  ITIL,  Java Script,  Software Testing"
National Diploma in Information Technology(IT),"Good problem solving and analytical skills -,  Good interpersonal skills -Highly developed communication skills and highly developed interpersonal skills. -,  Solution and deadline driven giving attention to detail- Able to handle multiple tasks,  Ability to manage time effectively -,  Self-starter with a high level of self-discipline -,  Good dynamic and team building skills -,  Ability to work under pressure -,  Hibernate  and relational databases. QUALIFICATION: -National Diploma in Information Technology(IT),  Java 2EE. -Web development: HTML"
Developing .NET Web Applications W/ Sql Databases,"Web Designind And Creation,  System Testing,  Web Application Evelpment,  System Analysis And Documentation,  Computer Programmer,  Data Mining,  ASP,  Javascript,  Oracle Programmer"
B.App.Soc.Sci Degree,"Head Hunting,  Executive Search,  Competency Based Interviewing,  MS Office,  Business Communication,  Microsoft Excel,  Microsoft Word,  Outlook,  Taleo"
License To Lead,"Oracle Forms,  Pl Sql,  Oracle Queues,  Oracle Reports,  Oracle Workflow,  SQL,  Compass - Sunguard System,  System Analysis,  Jad Sessions"
D.Dip :Information Technology,"gembox,  mvc,  angularjs,  sql,  microsoft office,  C#,  hardware and software,  programming(java,  ionic"
Microsoft Certified Professional,"PL-SQL,  Exception Handling,  JavaScript,  Visual Studio,  Web API,  JQuery,  IIS,  SQL Server,  JSON"
B.Comm (Computer Science),".Net,  XML,  T-SQL,  C#,  CSS,  HTML/XHTML,  Object Oriented Design,  AJAX,  ORM"
B.Com Information Systems,"Windows 2000 Server,  MS Exchange Server 2000,  IIS,  Tcp/Ip Networking,  Web Development (Html),  Linux Redhat,  Visual Studio .Net,  MS SQL Server 2000,  ASP programming"
Bachelor of Science Information Systems,"Object Oriented Programmer -Fluent in PHP -Experience in Microsoft languages -C#,  php,  ASP.NET and MVC -Java -RWD website design,  VB.Net,  -MySQL -MsSQL -Oracle 11g -DB2,  codeignter,  zend,  laravel"
Diploma In Information Technology,"Web Services,  C#,  JavaScript,  ASP.NET,  MVC,  SQL,  Microsoft Dynamics CRM 2011/2013/2016,  CSS,  JQuery"
MCSD,"C#,  .NET,  jquery,  javascript,  ASP .NET,  MVC,  Java"
Bachelor of Science,"Tcp/Ip Programming,  Com / Com+,  MS SQL Server (6.5 - 2005),  Http Programming,  Delphi,  XML,  C#,  Msmq,  Asp.Net"
Bachelor in Technology Information Technology,"SQL,  Data Mining,  Programming"
D Litt,"Student Development,  Education Management,  Accreditation,  Curriculum Design,  Staff Development,  Teaching,  Management,  Facilitation,  Curriculum Development And Enhancement"
B Sc Information Technology,".NET C#,  vb .NET,  financial instrument valuations,  Excel,  sql"
Visual Basic 6,"MAC OS,  Networking,  SQL,  Windows,  Javascript,  POS,  Accounting,  Business Management,  MYSQL"
Bachelor of Technology in Electrical Engineering,"Schematic and PCB development,  Embedded Design,  C Programming,  Surface Mount,  Electronics Development,  SMD PCB Repairs,  Production Technician,  App Inventor 2,  C# Development"
ICDL,"Html,  Microsoft Word,  Ms Access 2000/2003/Xp,  Microsoft Sql Server 2000,  C#.Net,  Ado.Net,  Asp.Net,  Javascript,  Cascading Style Sheets"
ND Information Technology,"SQL developing,  Software deceloper,  C#,  AngularJS,  JQuery,  CSS,  Bootsrep,  MVC"
Bachelor of Science  IT Software Engineering,"SOAP,  C#.NET,  SSRS,  IDENTITY AUTHENTICATION,  Javascript,  JSON,  Jquery,  ENTITY FRAMWORK,  ASP.NET"
MSc Aeronautical Engineering,"Microsoft Office,  Project Management,  Planning,  Data Analysis,  Management,  Budgeting,  Algorithm Development"
Bachelor Of Technology(Computer Science),"Sharepoint 2010,  AngularJS,  SSIS,  C#,  Asp .Net(2.0, 3.5, 4.0),  C#(2.0, 3.5"
MCSD,"Technical skills,  Programming skills,  Database management,  good verbal skills,  typng skills,  Technical frameworks,  Compute literate,  Good communication skills,  interpersonal skills"
Masters Of Computers,"sql server,  C#,  MVC,  Anguler JS,  AJAX,  Web Services,  WCF,  WPF,  HTML/DHTML"
NDIP: IT (Web Application and Development),"DataPower Appliance.,  Web Services,  XSD,  SQL,  XML,  Java (Java SE Java EE),  XSLT,  IBM Integration Tool,  ESQL"
Certified Scrum Master,"JQuery,  OOP,  Knockout,  Scrum Master,  C#,  NServiceBus,  Sql Server,  Javascript,  T-SQL"
Advanced windows Store Apps using HTML5 with JavaScript and CSS3,"PL/SQL developer,  C# developer,  SQL developer,  CSS,  angulerjs,  Javascript,  HTML,  C#,  ASP"
National Diploma Information Technology,"Communication,  .NET,  java,  javascript,  sql,  C#,  jquery,  Java,  Cobol"
70-461 Certification,"trouble shooting Computer problems,  CRM,  Microsoft SQL Management,  Adobe Master Collection,  Microsoft Office Package,  Microsoftpackage,  adobe aster collection,  Microsoft Visual Studio,  m"
Matric,"Oracle PLSQL,  CSS,  html,  C++,  C#"
Bachelor of Science  In Computing,"Sharepoint Configuration And Administration,  C#.Net,  Sharepoint Development,  CSS,  HMTL,  JavaScript,  JQuery,  Powershell,  T-Sql Transactions"
Financial Economics & Investment Management,"Accounting,  Data Analysis,  PHP,  CSS,  HTML"
National Diploma -Software development,"ASP.Net,  SQL,  C#,  Adaptive/Responsive Design,  Web Application Architecture,  User experience (UX) design,  API Integration,  Javascript,  CSS"
Bachelor of Science (Hons) Computing,"SSRS,  ETL,  T-SQL,  Databases,  SQL,  SISS,  Datawarehousing,  Database fine tunining,  ITIL\xae  Course Trained"
A-Levels,Photoshop
Ndip Electronic Engineering,"Pcb Design,  Interpersonal,  Procurement,  C/C++,  Delphi,  Management"
Bachelor of Science  Computer Science And Information Technology,"SQL,  Vba,  Java,  Java Ee,  Java Me"
Information Technology (Software Development),"SQL,  Microsoft office,  Android,  Computer tech,  C# (Major),  Microsoft Access Database,  JAVA,  SQLite and SqlServer,  Working Fast"
End-User Computing,"IT Consulted,  JAVA,  Desktop Support,  VB .NET programing,  Networking,  Microsoft Office,  Web Development,  Software testing,  Eclipse"
Bachelor of Science Computer Science,"Unix,  Backup,  Customer Relations,  Database Administration,  Forms,  Migration,  Oracle Applications,  Oracle Pl/Sql,  Oracle Version 6"
Ba Communication,"Marketing,  Customer Service,  Photoshop,  Copy Writing,  Brand Management,  InDesign,  Branding,  Graphic Design,  Wordpress"
National Diploma In Information Technology,
Java Certification,"Java, J2ee,  Xml, Webservies,  Mysql, Oracle, Sql,  Jsp, Jfs"
Business Focused Project Management,"Hardware Support,  Software Support,  Implementations Manager,  Implementations,  Team Lead,  Business Analyst,  Risk Management,  Networking,  Project Management"
Nd:Information Technology,Programming
Meng (Electronic and Electirical Engineering),"Latex,  javascript,  Java ME),  Python,  and Microsoft Windows. \u2022 Programming Languages: C,  Bash/Shell,  Java (J2SE,  HTML. \u2022 Databases: PostgreSQL and MySQL. \u2022 Kernel development for Linux and *BSD based Operating Systems. \u2022 Computer and mobile networking.,  Linux"
ITIL 2011 Edition Foundation,"Immensely enjoy navigating all aspects of complex projects.,  Driven by new challenges and desire to be successful in all endeavors.,  Architect tailor \u2013 made customer solution build relationships and communicate solution strategy and product offerings and provide technical expertise and support and training to sales and customers.,  An adaptable and successful IT professional with experience across multiple and varied projects in the IT industry.,  Solutions \u2013 driven IT Professional with extensive experience in Project Management and designing/implementing IT solutions.,  Articulate communicator who can fluently speak the languages of both people and technology blending technical expertise with exceptional interpersonal skills while interacting effectively with customers - sales - marketing and technical/engineering teams.,  Enjoys working in a varied role with an element of business analysis - project management and end user coordination.,  Extensive Computer software implementation experience with both single and multi site companies.,  Customer \u2013 focused highly organized self \u2013 starter with effective customer \u2013 service skills and demonstrated ability to manage technical aspects and pre \u2013 sales projects."
Diploma,"SAP abap,  C#,  VB .NET,  JAVA,  C++"
M.Sc,"Windows 98, Xp, Vista, 7,  Copper,  Fibre,  Telecoms Cabling,  Computer/Telecoms Hardware,  Win Nt"
National Diploma,"Organisational Skills,  Msoffice -Word,  Excel,  Powerpoint,  Visio,  Communication - Writing(Brochures, Manual)"
Mcdba.Net,"New Product Developer,  Sales And Marketing,  Microsoft Office Skilled,  Inventing/Inventor,  Brand Conceptualizing/Building With Intellectual Property Advice,  Trademark,  Patent And Design Consultant,  Investment/Capital Sourcing For New/Existing Projects"
Project Management,"Microsoft Office,  Upgrades,  Information Systems,  Customer Support,  Customer Relations,  atm,  Networking,  Billing,  Budgeting"
Java SE 8 Programmer 1,"HTML,  CSS,  Java Script,  MySQL,  PHP,  Wicket,  Xcelsius,  Dundas Dashboard,  SAP Business Objects Dashboards"
Master of Computer applications,"SQL Server 2012 R2,  Dynamcis AX 2012 R3,  SharePoint Server 2013,  SSAS,  SSIS,  SSRS,  Power BI"
Management Certificate,"Communication -Written And Verbal,  Flexibiliy And Learning,  Supervisory Skills,  Performance Development,  Training And Development,  Documentation Creating And Editing,  Customer Relations And Service,  Coaching,  Target Achievement"
B.Com,"Microsoft Excel,  Microsoft Word,  Excel Vba,  Powerpoint,  Visio,  Sql Server 2000,  Microsoft Visual Studio Reporting Services,  Sql Server 2008,  Quality Centre"
Diploma In Advanced Computing,"J2ee,  OSB,  Open Source tools,  OER,  OEM,  Jdeveloper,  SOA,  Windows,  Oracle Weblogic 8.1/9.1/10gr3"
M.Sc,"C#,  sql,  Ado .NET,  Javascript"
Bachelor of Commerce,"Meeting Facilitation,  Documentation,  Project Management,  Reports,  Project Planning,  Microsoft Project,  Design,  Customer Relations,  Consulting"
Bachelor in Technology. In Computer Science And Engineering,Sap Pi
Customer Care And Billing (Cc&B) Certificate,"Problem Solving,  Ms Powepoint 2007,  Ms Excell 2007,  Microsft Office 2010,  Ms Word 2007,  Programming,  Ms Visio, Erd"
Bachelor in Technology,"VB .NET MSSQL,  PHP MYSQL ASP .NET,  Technical Support,  VB .NET,  JSON,  SQL,  CSS,  C#,  JQUERY"
Web Development,"Html / CSS,  PHP,  Javascript,  Photoshop,  Graphic / Web Design,  ASP"
M.C.A (Masters Computer Applications,"Java,  .Net,  C + +,  Database Administration"
Web Development,"Flash,  HTML,  Java Script"
National Security Diploma,"Management,  Training"
MCSA,"Microsoft SQL Server 2014,  C#,  I currently use MicroSoft Visual Studio,  Programming,  SQL,  ASP.NET,  AngularJS,  VB.Net,  Java"
Matric,"Letters,  Budgeting,  Reports,  Telephone Skills,  Administration,  Personnel Management,  Contract Management,  Recruiting,  Cost Control"
Master Of Computer Application,"Vb 6.0,  Sql Server 7,  Microsoft Office,  Flash Mx,  C, C++,  Adobe Photoshop 7,  Java,  Oracle Pl Sql"
Microsoft Certified Solutions Associate,"SYSTEM IMPLEMENTATION,  SYSTEM ANALYSIS,  SYSTEM ADMINISTRATION,  SYSTEM SUPPORT,  SYSTEM DESIGN,  C# .NET,  PHP,  MSCA,  MYSQL"
12grade,"Programer And Analyst,  It Consultant,  Manager,  Microsoft Dynamics Navision"
Masters in Business Administration,"Ethical Hacking,  Network Security,  Information Security,  Application & Data Security Specialist,  Cloud Application Administrator,  Windows 95/98/Nt/2000/Xp,  Linux,  Windows 7,  Windows 2008 server"
Lectora Publisher: Advanced,"HTML,  Lector Publisher,  Web Design,  E-Learning (Scorm),  Adobe Photoshop,  Adobe Flash,  Adobe Captivate,  Javascript,  Adobe Dreamweaver"
Matric,"CSS,  HTML,  white hat seo,  AMP,  PPC,  Schema Data,  Google analytics,  Google Tag Manager,  JS and Node"
New Managers Programme,"Analysis,  Persuasion,  Process Modelling,  Time Manangement,  UML,  Presentation,  Business Specification Writing,  Communication,  Investigating"
Master Of Fine Arts In Filmmaking,"Computer Literacy,  Driving"
Bachelor of Science  Information Science,"SOA,  Operations Architecture,  SQL Server,  C#,  Technical Architecture,  Integration Architecture,  Microsoft BizTalk Expect,  .Net Framework,  Application Architecture"
Diploma In Java,"C#,  Vb.Net Both Win And Web Applications,  Oracle, Sql Server 7.0/Sql Server 2000,  Html,  Javascript And Xml,  Sql Server 2000 ,  Oracle 10g And Sql Server 2005,  Vb/D2k"
Oracle Developer,"Php,  Pearl,  Asp,  Front Page (Html), Vb 6.0, Crystal,  Oracle Developer , Powerbuilder,  Sql Server 2000"
LLB,"Microsoft Office,  Email,  Team working. ... Loyalty. ... Positivity. ... Creativity. ... Adaptability. ... Tenacity. ...,  Communication,  Extrovert,  Socialite love life"
P.G.D.C.A,"Java, J2ee, Oracle, DB2, MYSQ:, MSSQL,  Weblogic, Websphere, Jboss"
Certificate Programme In Business And Management,"Universe/Pick D3 Programmer/Linux Administrator,  Php/Asp/Html/Javascript,  Trader Technical And Fundamentals,  Sql/Mysql/Stored Procedures,  Business Analyst/Java/Vb/C#/Consultant"
National Diploma Information Technology,"Javascript,  Html,  Customer Relations,  Dhtml,  Goal Setting,  Internet Information Server,  Microsoft Certified Database Administrator,  Microsoft Certified Systems Developer,  Microsoft Certified Systems Engineer"
Masters Com (Business Management),"\u2022\tExcellent Communication Both In English,  French And German,  \u2022\tAnalytical Skills,  \u2022\tPresentation Skills,  \u2022\tTime Management,  \u2022\tTeam Leadership"
Bachelor of Commerce Informatics 3rd Year,"MVS,  Db2\\Sql,  JCL,  Easytrieve Plus,  Cobol,  Dfsort,  Cics,  Javascript,  Xhtml"
Computer Engineering,"Consulting,  Test Plans,  Testing,  Support,  Java,  Pl/Sql"
Continued Professional Development Programme,"Sql Server,  C#,  Silverlight,  WCF,  WPF,  Windows Server,  Sharepoint,  C\\C++,  Vb 6"
System Development NQF level 5,"Troubleshooting and debugging \uf0a7,  C#,  SQL databases  \uf0a7,  including Unix/Linux,  Development knowledge of Visual Basic,  PL/SQL and Oracle forms  \uf0a7,  Advanced problem solving skills  \uf0a7,  Development knowledge,  HTML & CSS \uf0a7"
Certificate In Project Management,"Communications,  Customer Liason,  Problem Solving Skills,  Cordinate & Facilitate Incoming & Outgoing Clients,  Business Developer Manager"
National Certificate In Information Technology,"Microsoft Office,  Microsoft Visual Studio,  Java,  Seagate Crystal Reports,  Microsoft Visio"
Bachelor of Science  Honours in Infomation Systems,"Systems Support,  Software development,  Testing,  Customer support,  Software Development,  testing,  Microsoft Office"
Certified Programmer,"Java J2ee 1.3 - 1.5,  Java Scripting,  MS Access 2003,  Ibm Rad/Rsa,  Eclipse,  JSP,  Frontpage,  MS IIS,  SQL"
Multimedia Three Year Intergrated Fine Art Animation And Graphic Design,"Multimedia,  CSS,  Illustrator,  Html,  Powerpoint,  Joomla,  Wordpress,  Hosting  Software,  Fireworks"
Microsoft c# specialist,"SQL &PLSQL(Oracle9i),  Android and C#,  Programming in java,  Networking Wireless And Wired (Using Rj45) Internet        Connection. (Windows And Linux (Basics)),  \u2022 Oracle 9i (Sql And Pl\\Sql),  Joomla,  Wordpress and SharePoint"
IT DIPLOMA,"ASP.NET,  CSS3,  JavaScript,  HTML5,  sql"
National Diploma:Information Technology,"software development,  Business analysis,  Business Analysis,  Software Testing,  Microsoft Access,  Vb.Net,  Natural Construct,  TSO,  Natural"
Sql,"Software Support,  Software Testing,  Production Planning,  Software Development,  Management Of Staff"
Bachelor in Technology Degree,"Oracle 11g Universal Content Management (UCM) Oracle WebCenter Imaging/Imaging and Process Management (I/PM) Oracle Universal Content Management (URM) Oracle Information Rights Management (IRM) Oracle Inbound Refinery (IBR) Oracle Document Management Oracle WebCenter Capture 11g,  Oracle Secure Enterprise Search (SES) Oracle 11g Weblogic Oracle 10g Universal Content Management  Oracle 11g WebCenter Oracle 10g Applications Server,  Oracle 10g EBS/UCM Adapter  Oracle E-Business Suite ImageNow ECM Suite Software development using Visual Basic.Net ASP.Net,  Oracle JDeveloper IBM Universe Basic Programming IBM Universe Database Administration  Business Analysis HTML XML Java Delphi Web Services SQL Clarion Apache Oracle 10g Oracle 10g Enterprise Manager Oracle Reports Builder Crystal Reports Linux and Unix Windows Operating Systems"
BA-Development studies,"analytical skills,  research,  microsoft office suite,  interpersonal skills,  communication skills,  ability to work independently,  Computer literacy,  report writing skills,  development of self and other"
Matric,Abap
National Diploma Information Technology,"Sql,  Ssis"
Bachelor of Science (Computer Science),"Problem Solver,  Good Knowledge Of Fixing The Computers,  Information Gathering Knowledge"
Information Technology (Software Development),"SQL,  C#,  \u2022\tC# o\tWinForms o\tWinServices o\tConsole o\tASP.Net o\tMVC o\tREST o\tWPF o\tWCF,  \u2022\tSQL,  T-SQL,  \u2022\tComputer Literacy o\tMS Word o\tMS Excel o\tMS Project o\tMS Access o\tMS PowerPoint o\tMS Visio,  \u2022\tXML,  \u2022\tMSMQ,  \u2022\tEntity Framework"
Bachelors Degree In Arts (History And Philosophy),"Writting,  CSS,  HTML,  Mysql,  Graphic Designing,  PHP,  Flash Animation,  Javascript,  Video Editing"
Bachelor of Technologies,"xCP,  Java,  D2,  Documentum,  Webtop"
Certificate in Advanced Project Management,"Communication,  Analysis,  PMBOK,  Problem Solving,  Project Management,  Agile,  COBOL programming,  SQL,  PHP"
Adobe Photoshop Cs,"Microsft Package - All,  Computer Graphics And Web Page Design,  Tele/Sales Consultant,  Asp.Net"
B Sc Honors (Chemistry),"Microsoft Office Suite:MS Word,  Excel and PowerP"
Certificate in information Systems,"MS Office,  C#IDE Development tools(i.e Visual Studio.NET,  C#NET,  Network Administration,  Leadership,  Linux,  Sharp Develop),  Linux Server Administration.,  MS SQL Server 7.0/2000"
certified Netweaver 7.3 development associate,"consultant,  XML,  JAVA,  C#,  ASP.NET.,  HTML,  SQL,  SAP PI,  SAP xi"
Masters in Project Management,"Desktop Support,  Management,  Leadership,  Cobit,  Itil"
Bachelor Of Technology In Information Technology,"Project Management,  Business Process Modelling,  Business Requirments Gathering,  Presentation And Facilitation,  Training"
Microsoft Project,"Short Term Insurance Knowledge - Including Sasria,  Universe/Pick Programming,  Business Analysis,  System And Program Specification,  Training,  Microsoft Project,  Cobol/Adabas Programming"
